property,domain,range
actsFor,Agent,SocialAgent
actsThrough,SocialAgent,Agent
associatedWith,Entity,Entity
characterizes,Concept,Collection
classifies,Concept,Entity
conceptualizes,Agent,SocialObject
concretelyExpresses,InformationRealization,SocialObject
coparticipatesWith,Object,Object
covers,Concept,Collection
defines,Description,Concept
definesRole,Description,Role
definesTask,Description,Task
describes,Description,Entity
directlyFollows,Entity,Entity
directlyPrecedes,Entity,Entity
executesTask,Action,Task
expands,Description,Description
expresses,InformationObject,SocialObject
expressesConcept,InformationObject,Concept
farFrom,Entity,Entity
follows,Entity,Entity
hasCommonBoundary,Entity,Entity
hasComponent,Entity,Entity
hasConstituent,Entity,Entity
hasConstraint,Entity,Parameter
hasLocation,Entity,Entity
hasMember,Collection,Entity
hasParameter,Concept,Parameter
hasPart,Entity,Entity
hasParticipant,Event,Object
hasPostcondition,_:genid6,_:genid9
hasPrecondition,_:genid12,_:genid15
hasProperPart,,
hasQuality,Entity,Quality
hasRegion,Entity,Region
hasRole,Object,Role
hasSetting,Entity,Situation
hasTask,Role,Task
hasTimeInterval,Event,TimeInterval
includesAction,Situation,Action
includesAgent,Situation,Agent
includesEvent,Situation,Event
includesObject,Situation,Object
includesPart,,
includesTime,Situation,TimeInterval
includesWhole,,
introduces,Description,SocialAgent
involvesAgent,Event,Agent
isAbout,InformationObject,Entity
isActionIncludedIn,Action,Situation
isAgentIncludedIn,Agent,Situation
isAgentInvolvedIn,Agent,Event
isCharacterizedBy,Collection,Concept
isClassifiedBy,Entity,Concept
isComponentOf,Entity,Entity
isConceptExpressedBy,Concept,InformationObject
isConceptUsedIn,Concept,Description
isConceptualizedBy,SocialObject,Agent
isConcretelyExpressedBy,SocialObject,InformationRealization
isConstituentOf,Entity,Entity
isConstraintFor,Parameter,Entity
isCoveredBy,Collection,Concept
isDefinedIn,Concept,Description
isDescribedBy,Entity,Description
isEventIncludedIn,Event,Situation
isExecutedIn,Task,Action
isExpandedIn,Description,Description
isExpressedBy,SocialObject,InformationObject
isIntroducedBy,SocialAgent,Description
isLocationOf,Entity,Entity
isMemberOf,Entity,Collection
isObjectIncludedIn,Object,Situation
isObservableAt,Entity,TimeInterval
isParameterFor,Parameter,Concept
isParametrizedBy,Region,Parameter
isPartOf,Entity,Entity
isParticipantIn,Object,Event
isPostconditionOf,_:genid18,_:genid21
isPreconditionOf,_:genid24,_:genid27
isPropertPartOf,,
isQualityOf,Quality,Entity
isRealizedBy,InformationObject,InformationRealization
isReferenceOf,Entity,InformationObject
isReferenceOfInformationRealizedBy,Entity,InformationRealization
isRegionFor,Region,Entity
isRelatedToConcept,Concept,Concept
isRelatedToDescription,Description,Description
isRoleDefinedIn,Role,Description
isRoleOf,Role,Object
isSatisfiedBy,Description,Situation
isSettingFor,Situation,Entity
isSpecializedBy,SocialObject,SocialObject
isSubordinatedTo,Concept,Concept
isSuperordinatedTo,Concept,Concept
isTaskDefinedIn,Task,Description
isTaskOf,Task,Role
isTimeIncludedIn,TimeInterval,Situation
isTimeIntervalOf,TimeInterval,Event
isTimeOfObservationOf,TimeInterval,Entity
isUnifiedBy,Collection,Description
nearTo,Entity,Entity
overlaps,Entity,Entity
parametrizes,Parameter,Region
precedes,Entity,Entity
realizes,InformationRealization,InformationObject
realizesInformationAbout,InformationRealization,Entity
realizesSelfInformation,,
sameSettingAs,Entity,Entity
satisfies,Situation,Description
specializes,SocialObject,SocialObject
unifies,Description,Collection
usesConcept,Description,Concept
