class_name,property_name,quantifier,cardinality,related_class
Action,executes_task,min,1,Task
Action,has_constituent,only,,Event
Action,has_part,only,,Event
Action,has_participant,some,,Agent
Action,has_participant,some,,Object
Action,has_time_interval,some,,TimeInterval
Agent,has_constituent,only,,Object
Agent,has_location,some,,Entity
Agent,has_part,only,,Object
Agent,is_classified_by,only,,Role
Agent,is_participant_in,some,,Event
Amount,has_constituent,only,,Region
Amount,has_part,only,,Region
Amount,overlaps,only,,Region
Amount,precedes,only,,Region
BiologicalObject,has_constituent,only,,Object
BiologicalObject,has_location,some,,Entity
BiologicalObject,has_part,only,,PhysicalObject
BiologicalObject,has_part,only,,Object
BiologicalObject,is_classified_by,only,,Role
BiologicalObject,is_participant_in,some,,Event
ChemicalObject,has_constituent,only,,Object
ChemicalObject,has_location,some,,Entity
ChemicalObject,has_part,only,,PhysicalObject
ChemicalObject,has_part,only,,Object
ChemicalObject,is_classified_by,only,,Role
ChemicalObject,is_participant_in,some,,Event
Classification,is_setting_for,some,,Concept
Classification,is_setting_for,some,,Entity
Classification,is_setting_for,some,,TimeInterval
Collection,has_constituent,only,,Object
Collection,has_location,some,,Entity
Collection,has_part,only,,Collection
Collection,has_part,only,,SocialObject
Collection,has_part,only,,Object
Collection,is_classified_by,only,,Role
Collection,is_expressed_by,some,,InformationObject
Collection,is_participant_in,some,,Event
Collective,has_constituent,only,,Object
Collective,has_location,some,,Entity
Collective,has_member,only,,Agent
Collective,has_part,only,,Collection
Collective,has_part,only,,SocialObject
Collective,has_part,only,,Object
Collective,is_classified_by,only,,Role
Collective,is_expressed_by,some,,InformationObject
Collective,is_participant_in,some,,Event
CollectiveAgent,acts_through,some,,Agent
CollectiveAgent,acts_through,some,,PhysicalAgent
CollectiveAgent,has_constituent,only,,Object
CollectiveAgent,has_location,some,,Entity
CollectiveAgent,has_part,only,,Object
CollectiveAgent,has_part,only,,SocialObject
CollectiveAgent,is_classified_by,only,,Role
CollectiveAgent,is_expressed_by,some,,InformationObject
CollectiveAgent,is_introduced_by,some,,Description
CollectiveAgent,is_participant_in,some,,Event
Community,acts_through,some,,Agent
Community,acts_through,some,,PhysicalAgent
Community,has_constituent,only,,Object
Community,has_location,some,,Entity
Community,has_part,only,,Object
Community,has_part,only,,SocialObject
Community,is_classified_by,only,,Role
Community,is_expressed_by,some,,InformationObject
Community,is_introduced_by,some,,Description
Community,is_participant_in,some,,Event
Concept,has_constituent,only,,Object
Concept,has_location,some,,Entity
Concept,has_part,only,,Concept
Concept,has_part,only,,SocialObject
Concept,has_part,only,,Object
Concept,is_classified_by,only,,Role
Concept,is_defined_in,some,,Description
Concept,is_expressed_by,some,,InformationObject
Concept,is_participant_in,some,,Event
Configuration,has_constituent,only,,Object
Configuration,has_location,some,,Entity
Configuration,has_part,only,,Collection
Configuration,has_part,only,,SocialObject
Configuration,has_part,only,,Object
Configuration,is_classified_by,only,,Role
Configuration,is_expressed_by,some,,InformationObject
Configuration,is_participant_in,some,,Event
Contract,has_constituent,only,,Object
Contract,has_location,some,,Entity
Contract,has_part,only,,SocialObject
Contract,has_part,only,,Object
Contract,is_classified_by,only,,Role
Contract,is_expressed_by,some,,InformationObject
Contract,is_participant_in,some,,Event
Description,has_constituent,only,,Object
Description,has_location,some,,Entity
Description,has_part,only,,SocialObject
Description,has_part,only,,Object
Description,is_classified_by,only,,Role
Description,is_expressed_by,some,,InformationObject
Description,is_participant_in,some,,Event
Design,has_constituent,only,,Object
Design,has_location,some,,Entity
Design,has_part,only,,SocialObject
Design,has_part,only,,Object
Design,is_classified_by,only,,Role
Design,is_expressed_by,some,,InformationObject
Design,is_participant_in,some,,Event
DesignedArtifact,has_constituent,only,,Object
DesignedArtifact,has_location,some,,Entity
DesignedArtifact,has_part,only,,PhysicalObject
DesignedArtifact,has_part,only,,Object
DesignedArtifact,is_classified_by,only,,Role
DesignedArtifact,is_described_by,some,,Design
DesignedArtifact,is_described_by,some,,Plan
DesignedArtifact,is_participant_in,some,,Event
DesignedSubstance,has_constituent,only,,Object
DesignedSubstance,has_location,some,,Entity
DesignedSubstance,has_part,only,,PhysicalObject
DesignedSubstance,has_part,only,,Object
DesignedSubstance,is_classified_by,only,,Role
DesignedSubstance,is_described_by,some,,Design
DesignedSubstance,is_described_by,some,,Plan
DesignedSubstance,is_participant_in,some,,Event
Diagnosis,has_constituent,only,,Object
Diagnosis,has_location,some,,Entity
Diagnosis,has_part,only,,SocialObject
Diagnosis,has_part,only,,Object
Diagnosis,is_classified_by,only,,Role
Diagnosis,is_expressed_by,some,,InformationObject
Diagnosis,is_participant_in,some,,Event
Event,has_constituent,only,,Event
Event,has_part,only,,Event
Event,has_participant,some,,Object
Event,has_time_interval,some,,TimeInterval
EventType,classifies,only,,Event
EventType,has_constituent,only,,Object
EventType,has_location,some,,Entity
EventType,has_part,only,,Concept
EventType,has_part,only,,SocialObject
EventType,has_part,only,,Object
EventType,is_classified_by,only,,Role
EventType,is_defined_in,some,,Description
EventType,is_expressed_by,some,,InformationObject
EventType,is_participant_in,some,,Event
FunctionalSubstance,has_constituent,only,,Object
FunctionalSubstance,has_location,some,,Entity
FunctionalSubstance,has_part,only,,PhysicalObject
FunctionalSubstance,has_part,only,,Object
FunctionalSubstance,is_classified_by,only,,Role
