idEntity1,idEntity2,idEntity3
2749814,2749818,2749820
2749814,2749819,2749820
2749814,2749821,2749820
2749814,2749822,2749820
2749814,2749823,2749820
2749814,2749824,2749820
2749814,2749825,2749820
2749814,2749826,2749820
2749814,2749827,2749927
2749814,2749828,2749827
2749814,2749829,2749827
2749814,2749830,2749820
2749814,2749831,2749838
2749814,2749832,2749919
2749814,2749833,2749871
2749814,2749834,2749929
2749814,2749835,2749820
2749814,2749836,2749835
2749814,2749837,2749820
2749814,2749838,2749820
2749814,2749839,2749820
2749814,2749840,2749850
2749814,2749841,2749820
2749814,2749842,2749871
2749814,2749843,2749820
2749814,2749844,2749820
2749814,2749845,2749928
2749814,2749846,2749820
2749814,2749847,2749820
2749814,2749848,2749832
2749814,2749849,2749831
2749814,2749850,2749846
2749814,2749851,2749820
2749814,2749852,2749820
2749814,2749853,2749871
2749814,2749854,2749820
2749814,2749855,2749928
2749814,2749856,2749852
2749814,2749857,2749859
2749814,2749858,2749860
2749814,2749859,2749906
2749814,2749860,2749906
2749814,2749862,2749906
2749814,2749864,2749820
2749814,2749865,2749847
2749814,2749866,2749820
2749814,2749867,2749882
2749814,2749868,2749889
2749814,2749869,2749893
2749814,2749870,2749820
2749814,2749871,2749820
2749814,2749872,2749897
2749814,2749874,2749885
2749814,2749875,2749820
2749814,2749873,2749820
2749814,2749876,2749820
2749814,2749877,2749820
2749814,2749878,2749822
2749814,2749879,2749820
2749814,2749880,2749875
2749814,2749881,2749820
2749814,2749882,2749854
2749814,2749883,2749822
2749814,2749884,2749929
2749814,2749885,2749820
2749814,2749886,2749820
2749814,2749887,2749820
2749814,2749888,2749820
2749814,2749889,2749854
2749814,2749890,2749852
2749814,2749891,2749928
2749814,2749892,2749871
2749814,2749894,2749820
2749814,2749893,2749820
2749814,2749895,2749831
2749814,2749896,2749832
2749814,2749897,2749894
2749814,2749898,2749820
2749814,2749899,2749820
2749814,2749900,2749820
2749814,2749901,2749820
2749814,2749902,2749820
2749814,2749928,2749820
2749814,2749929,2749820
2749814,2749903,2749880
2749814,2749904,2749822
2749814,2749905,2749820
2749814,2749906,2749820
2749814,2749907,2749820
2749814,2749908,2749831
2749814,2749908,2749928
2749814,2749909,2749832
2749814,2749909,2749928
2749814,2749910,2749880
2749814,2749911,2749928
2749814,2749912,2749854
2749814,2749913,2749902
2749814,2749914,2749902
2749814,2749915,2749820
2749814,2749916,2749820
2749814,2749917,2749820
2749814,2749918,2749822
2749814,2749919,2749820
2749814,2749920,2749820
2749814,2749921,2749820
2749814,2749923,2749820
2749814,2749924,2749820
2749814,2749925,2749820
2749814,2749926,2749820
2749814,2749927,2749820
