idFrameElement,idEntity,frameName,feName,property_name,related_class,quantifier,cardinality,match_count
14072,2747372,Action,Constitution,has_constituent,Event,only,,1
14071,2747371,Action,Execution,executes_task,Task,min,1,1
14073,2747373,Action,Parthood,has_part,Event,only,,1
14074,2747374,Action,Participation,has_participant,Agent,some,,1
14075,2747375,Action,Participation,has_participant,Agent,some,,1
14076,2747376,Action,Temporal_interval,has_time_interval,TimeInterval,some,,1
14080,2747380,Agent,Classification,is_classified_by,Role,only,,1
14077,2747377,Agent,Constitution,has_constituent,Object,only,,1
14078,2747378,Agent,Location,has_location,Entity,some,,1
14079,2747379,Agent,Parthood,has_part,Object,only,,1
14081,2747381,Agent,Participation,is_participant_in,Event,some,,1
14082,2747382,Amount,Constitution,has_constituent,Region,only,,1
14084,2747384,Amount,Overlap,overlaps,Region,only,,1
14083,2747383,Amount,Parthood,has_part,Region,only,,1
14085,2747385,Amount,Sequence,precedes,Region,only,,1
14090,2747390,"Biological object",Classification,is_classified_by,Role,only,,1
14086,2747386,"Biological object",Constitution,has_constituent,Object,only,,1
14087,2747387,"Biological object",Location,has_location,Entity,some,,1
14088,2747388,"Biological object",Parthood,has_part,Object,only,,1
14089,2747389,"Biological object",Parthood,has_part,Object,only,,1
14091,2747391,"Biological object",Participation,is_participant_in,Event,some,,1
14096,2747396,"Chemical object",Classification,is_classified_by,Role,only,,1
14092,2747392,"Chemical object",Constitution,has_constituent,Object,only,,1
14093,2747393,"Chemical object",Location,has_location,Entity,some,,1
14094,2747394,"Chemical object",Parthood,has_part,Object,only,,1
14095,2747395,"Chemical object",Parthood,has_part,Object,only,,1
14097,2747397,"Chemical object",Participation,is_participant_in,Event,some,,1
14098,2747398,Classification,Setting,is_setting_for,Concept,some,,1
14099,2747399,Classification,Setting,is_setting_for,Concept,some,,1
14100,2747400,Classification,Setting,is_setting_for,Concept,some,,1
14106,2747406,Collection,Classification,is_classified_by,Role,only,,1
14101,2747401,Collection,Constitution,has_constituent,Object,only,,1
14107,2747407,Collection,Expression,is_expressed_by,InformationObject,some,,1
14102,2747402,Collection,Location,has_location,Entity,some,,1
14103,2747403,Collection,Parthood,has_part,Object,only,,1
14104,2747404,Collection,Parthood,has_part,Object,only,,1
14105,2747405,Collection,Parthood,has_part,Object,only,,1
14108,2747408,Collection,Participation,is_participant_in,Event,some,,1
14115,2747415,Collective,Classification,is_classified_by,Role,only,,1
14109,2747409,Collective,Constitution,has_constituent,Object,only,,1
14116,2747416,Collective,Expression,is_expressed_by,InformationObject,some,,1
14110,2747410,Collective,Location,has_location,Entity,some,,1
14111,2747411,Collective,Membership,has_member,Agent,only,,1
14114,2747414,Collective,Parthood,has_part,Object,only,,1
14112,2747412,Collective,Parthood,has_part,Object,only,,1
14113,2747413,Collective,Parthood,has_part,Object,only,,1
14117,2747417,Collective,Participation,is_participant_in,Event,some,,1
14124,2747424,"Collective agent",Classification,is_classified_by,Role,only,,1
14120,2747420,"Collective agent",Constitution,has_constituent,Object,only,,1
14125,2747425,"Collective agent",Expression,is_expressed_by,InformationObject,some,,1
14126,2747426,"Collective agent",Introduction,is_introduced_by,Description,some,,1
14121,2747421,"Collective agent",Location,has_location,Entity,some,,1
14122,2747422,"Collective agent",Parthood,has_part,Object,only,,1
14123,2747423,"Collective agent",Parthood,has_part,Object,only,,1
14127,2747427,"Collective agent",Participation,is_participant_in,Event,some,,1
14118,2747418,"Collective agent",Proxy_agency,acts_through,Agent,some,,1
14119,2747419,"Collective agent",Proxy_agency,acts_through,Agent,some,,1
14134,2747434,Community,Classification,is_classified_by,Role,only,,1
14130,2747430,Community,Constitution,has_constituent,Object,only,,1
14135,2747435,Community,Expression,is_expressed_by,InformationObject,some,,1
14136,2747436,Community,Introduction,is_introduced_by,Description,some,,1
14131,2747431,Community,Location,has_location,Entity,some,,1
14132,2747432,Community,Parthood,has_part,Object,only,,1
14133,2747433,Community,Parthood,has_part,Object,only,,1
14137,2747437,Community,Participation,is_participant_in,Event,some,,1
14128,2747428,Community,Proxy_agency,acts_through,Agent,some,,1
14129,2747429,Community,Proxy_agency,acts_through,Agent,some,,1
14143,2747443,Concept,Classification,is_classified_by,Role,only,,1
14138,2747438,Concept,Constitution,has_constituent,Object,only,,1
14144,2747444,Concept,Definition,is_defined_in,Description,some,,1
14145,2747445,Concept,Expression,is_expressed_by,InformationObject,some,,1
14139,2747439,Concept,Location,has_location,Entity,some,,1
14140,2747440,Concept,Parthood,has_part,Object,only,,1
14141,2747441,Concept,Parthood,has_part,Object,only,,1
14142,2747442,Concept,Parthood,has_part,Object,only,,1
14146,2747446,Concept,Participation,is_participant_in,Event,some,,1
14152,2747452,Configuration,Classification,is_classified_by,Role,only,,1
14147,2747447,Configuration,Constitution,has_constituent,Object,only,,1
14153,2747453,Configuration,Expression,is_expressed_by,InformationObject,some,,1
14148,2747448,Configuration,Location,has_location,Entity,some,,1
14149,2747449,Configuration,Parthood,has_part,Object,only,,1
14150,2747450,Configuration,Parthood,has_part,Object,only,,1
14151,2747451,Configuration,Parthood,has_part,Object,only,,1
14154,2747454,Configuration,Participation,is_participant_in,Event,some,,1
14159,2747459,Contract,Classification,is_classified_by,Role,only,,1
14155,2747455,Contract,Constitution,has_constituent,Object,only,,1
14160,2747460,Contract,Expression,is_expressed_by,InformationObject,some,,1
14156,2747456,Contract,Location,has_location,Entity,some,,1
14157,2747457,Contract,Parthood,has_part,Object,only,,1
14158,2747458,Contract,Parthood,has_part,Object,only,,1
14161,2747461,Contract,Participation,is_participant_in,Event,some,,1
14166,2747466,Description,Classification,is_classified_by,Role,only,,1
14162,2747462,Description,Constitution,has_constituent,Object,only,,1
14167,2747467,Description,Expression,is_expressed_by,InformationObject,some,,1
14163,2747463,Description,Location,has_location,Entity,some,,1
14164,2747464,Description,Parthood,has_part,Object,only,,1
14165,2747465,Description,Parthood,has_part,Object,only,,1
14168,2747468,Description,Participation,is_participant_in,Event,some,,1
14173,2747473,Design,Classification,is_classified_by,Role,only,,1
14169,2747469,Design,Constitution,has_constituent,Object,only,,1
14174,2747474,Design,Expression,is_expressed_by,InformationObject,some,,1
14170,2747470,Design,Location,has_location,Entity,some,,1
14171,2747471,Design,Parthood,has_part,Object,only,,1
14172,2747472,Design,Parthood,has_part,Object,only,,1
14175,2747475,Design,Participation,is_participant_in,Event,some,,1
14180,2747480,"Designed artifact",Classification,is_classified_by,Role,only,,1
14176,2747476,"Designed artifact",Constitution,has_constituent,Object,only,,1
14181,2747481,"Designed artifact",Description,is_described_by,Design,some,,1
14182,2747482,"Designed artifact",Description,is_described_by,Design,some,,1
14177,2747477,"Designed artifact",Location,has_location,Entity,some,,1
14178,2747478,"Designed artifact",Parthood,has_part,Object,only,,1
14179,2747479,"Designed artifact",Parthood,has_part,Object,only,,1
14183,2747483,"Designed artifact",Participation,is_participant_in,Event,some,,1
14188,2747488,DesignedSubstance,Classification,is_classified_by,Role,only,,1
14184,2747484,DesignedSubstance,Constitution,has_constituent,Object,only,,1
14189,2747489,DesignedSubstance,Description,is_described_by,Design,some,,1
14190,2747490,DesignedSubstance,Description,is_described_by,Design,some,,1
14185,2747485,DesignedSubstance,Location,has_location,Entity,some,,1
14186,2747486,DesignedSubstance,Parthood,has_part,Object,only,,1
14187,2747487,DesignedSubstance,Parthood,has_part,Object,only,,1
14191,2747491,DesignedSubstance,Participation,is_participant_in,Event,some,,1
14196,2747496,Diagnosis,Classification,is_classified_by,Role,only,,1
14192,2747492,Diagnosis,Constitution,has_constituent,Object,only,,1
14197,2747497,Diagnosis,Expression,is_expressed_by,InformationObject,some,,1
14193,2747493,Diagnosis,Location,has_location,Entity,some,,1
14194,2747494,Diagnosis,Parthood,has_part,Object,only,,1
14195,2747495,Diagnosis,Parthood,has_part,Object,only,,1
14198,2747498,Diagnosis,Participation,is_participant_in,Event,some,,1
14199,2747499,Event,Constitution,has_constituent,Event,only,,1
14200,2747500,Event,Parthood,has_part,Event,only,,1
14201,2747501,Event,Participation,has_participant,Object,some,,1
14202,2747502,Event,Temporal_interval,has_time_interval,TimeInterval,some,,1
14203,2747503,"Event type",Classification,classifies,Event,only,,1
14209,2747509,"Event type",Classification,classifies,Event,only,,1
14204,2747504,"Event type",Constitution,has_constituent,Object,only,,1
14210,2747510,"Event type",Definition,is_defined_in,Description,some,,1
14211,2747511,"Event type",Expression,is_expressed_by,InformationObject,some,,1
14205,2747505,"Event type",Location,has_location,Entity,some,,1
14206,2747506,"Event type",Parthood,is_participant_in,Event,some,,1
14207,2747507,"Event type",Parthood,is_participant_in,Event,some,,1
14208,2747508,"Event type",Parthood,is_participant_in,Event,some,,1
14212,2747512,"Event type",Participation,is_participant_in,Event,some,,1
14217,2747517,"Functional substance",Classification,is_classified_by,Role,only,,1
14213,2747513,"Functional substance",Constitution,has_constituent,Object,only,,1
14214,2747514,"Functional substance",Location,has_location,Entity,some,,1
14215,2747515,"Functional substance",Parthood,has_part,Object,only,,1
14216,2747516,"Functional substance",Parthood,has_part,Object,only,,1
14218,2747518,"Functional substance",Participation,is_participant_in,Event,some,,1
14223,2747523,Goal,Classification,is_classified_by,Role,only,,1
14219,2747519,Goal,Constitution,has_constituent,Object,only,,1
14224,2747524,Goal,Expression,is_expressed_by,InformationObject,some,,1
14220,2747520,Goal,Location,has_location,Entity,some,,1
14221,2747521,Goal,Parthood,has_part,Object,only,,1
14222,2747522,Goal,Parthood,has_part,Object,only,,1
14225,2747525,Goal,Participation,is_participant_in,Event,some,,1
14232,2747532,Group,Classification,is_classified_by,Role,only,,1
14228,2747528,Group,Constitution,has_constituent,Object,only,,1
14233,2747533,Group,Description,is_described_by,Plan,some,,1
14234,2747534,Group,Expression,is_expressed_by,InformationObject,some,,1
14235,2747535,Group,Introduction,is_introduced_by,Description,some,,1
14229,2747529,Group,Location,has_location,Entity,some,,1
14230,2747530,Group,Parthood,has_part,Object,only,,1
14231,2747531,Group,Parthood,has_part,Object,only,,1
14236,2747536,Group,Participation,is_participant_in,Event,some,,1
14226,2747526,Group,Proxy_agency,acts_through,Agent,some,,1
14227,2747527,Group,Proxy_agency,acts_through,Agent,some,,1
14241,2747541,"Information object",Classification,is_classified_by,Role,only,,1
14237,2747537,"Information object",Constitution,has_constituent,Object,only,,1
14242,2747542,"Information object",Expression,is_expressed_by,InformationObject,some,,1
14238,2747538,"Information object",Location,has_location,Entity,some,,1
14239,2747539,"Information object",Parthood,has_part,Object,only,,1
14240,2747540,"Information object",Parthood,has_part,Object,only,,1
14243,2747543,"Information object",Participation,is_participant_in,Event,some,,1
14249,2747549,"Local concept",Classification,is_classified_by,Role,only,,1
14244,2747544,"Local concept",Constitution,has_constituent,Object,only,,1
14250,2747550,"Local concept",Definition,is_defined_in,Description,some,,1
14251,2747551,"Local concept",Expression,is_expressed_by,InformationObject,some,,1
14245,2747545,"Local concept",Location,has_location,Entity,some,,1
14246,2747546,"Local concept",Parthood,has_part,Object,only,,1
14247,2747547,"Local concept",Parthood,has_part,Object,only,,1
14248,2747548,"Local concept",Parthood,has_part,Object,only,,1
14252,2747552,"Local concept",Participation,is_participant_in,Event,some,,1
14257,2747557,Method,Classification,is_classified_by,Role,only,,1
14253,2747553,Method,Constitution,has_constituent,Object,only,,1
14258,2747558,Method,Expression,is_expressed_by,InformationObject,some,,1
14254,2747554,Method,Location,has_location,Entity,some,,1
14255,2747555,Method,Parthood,has_part,Object,only,,1
14256,2747556,Method,Parthood,has_part,Object,only,,1
14259,2747559,Method,Participation,is_participant_in,Event,some,,1
14264,2747564,Narrative,Classification,is_classified_by,Role,only,,1
14260,2747560,Narrative,Constitution,has_constituent,Object,only,,1
14265,2747565,Narrative,Expression,is_expressed_by,InformationObject,some,,1
14261,2747561,Narrative,Location,has_location,Entity,some,,1
14262,2747562,Narrative,Parthood,has_part,Object,only,,1
14263,2747563,Narrative,Parthood,has_part,Object,only,,1
14266,2747566,Narrative,Participation,is_participant_in,Event,some,,1
14271,2747571,"Natural person",Classification,is_classified_by,Role,only,,1
14267,2747567,"Natural person",Constitution,has_constituent,Object,only,,1
14268,2747568,"Natural person",Location,has_location,Entity,some,,1
14269,2747569,"Natural person",Parthood,has_part,Object,only,,1
14270,2747570,"Natural person",Parthood,has_part,Object,only,,1
14272,2747572,"Natural person",Participation,is_participant_in,Event,some,,1
14277,2747577,Norm,Classification,is_classified_by,Role,only,,1
14273,2747573,Norm,Constitution,has_constituent,Object,only,,1
14278,2747578,Norm,Expression,is_expressed_by,InformationObject,some,,1
14274,2747574,Norm,Location,has_location,Entity,some,,1
14275,2747575,Norm,Parthood,has_part,Object,only,,1
14276,2747576,Norm,Parthood,has_part,Object,only,,1
14279,2747579,Norm,Participation,is_participant_in,Event,some,,1
14283,2747583,Object,Classification,is_classified_by,Role,only,,1
14280,2747580,Object,Constitution,has_constituent,Object,only,,1
14281,2747581,Object,Location,has_location,Entity,some,,1
14282,2747582,Object,Parthood,has_part,Object,only,,1
14284,2747584,Object,Participation,is_participant_in,Event,some,,1
14285,2747585,ObjectAggregate,Parthood,has_part,Collection,some,,1
