idEntity1,idEntity2,idEntity3
2748007,2747372,2749753
2747999,2747371,2749802
2748012,2747373,2749753
2748013,2747374,2749735
2748013,2747375,2749735
2748022,2747376,2749806
2748037,2747380,2749791
2748007,2747377,2749767
2748009,2747378,2749752
2748012,2747379,2749767
2748059,2747381,2749753
2748007,2747382,2749788
2748083,2747384,2749788
2748012,2747383,2749788
2748085,2747385,2749788
2748037,2747390,2749791
2748007,2747386,2749767
2748009,2747387,2749752
2748012,2747388,2749767
2748012,2747389,2749767
2748059,2747391,2749753
2748037,2747396,2749791
2748007,2747392,2749767
2748009,2747393,2749752
2748012,2747394,2749767
2748012,2747395,2749767
2748059,2747397,2749753
2748072,2747398,2749744
2748072,2747399,2749744
2748072,2747400,2749744
2748037,2747406,2749791
2748007,2747401,2749767
2748051,2747407,2749760
2748009,2747402,2749752
2748012,2747403,2749767
2748012,2747404,2749767
2748012,2747405,2749767
2748059,2747408,2749753
2748037,2747415,2749791
2748007,2747409,2749767
2748051,2747416,2749760
2748009,2747410,2749752
2748010,2747411,2749735
2748012,2747414,2749767
2748012,2747412,2749767
2748012,2747413,2749767
2748059,2747417,2749753
2748037,2747424,2749791
2748007,2747420,2749767
2748051,2747425,2749760
2748052,2747426,2749747
2748009,2747421,2749752
2748012,2747422,2749767
2748012,2747423,2749767
2748059,2747427,2749753
2747985,2747418,2749735
2747985,2747419,2749735
2748037,2747434,2749791
2748007,2747430,2749767
2748051,2747435,2749760
2748052,2747436,2749747
2748009,2747431,2749752
2748012,2747432,2749767
2748012,2747433,2749767
2748059,2747437,2749753
2747985,2747428,2749735
2747985,2747429,2749735
2748037,2747443,2749791
2748007,2747438,2749767
2748046,2747444,2749747
2748051,2747445,2749760
2748009,2747439,2749752
2748012,2747440,2749767
2748012,2747441,2749767
2748012,2747442,2749767
2748059,2747446,2749753
2748037,2747452,2749791
2748007,2747447,2749767
2748051,2747453,2749760
2748009,2747448,2749752
2748012,2747449,2749767
2748012,2747450,2749767
2748012,2747451,2749767
2748059,2747454,2749753
2748037,2747459,2749791
2748007,2747455,2749767
2748051,2747460,2749760
2748009,2747456,2749752
2748012,2747457,2749767
2748012,2747458,2749767
2748059,2747461,2749753
2748037,2747466,2749791
2748007,2747462,2749767
2748051,2747467,2749760
2748009,2747463,2749752
2748012,2747464,2749767
2748012,2747465,2749767
2748059,2747468,2749753
2748037,2747473,2749791
2748007,2747469,2749767
2748051,2747474,2749760
2748009,2747470,2749752
2748012,2747471,2749767
2748012,2747472,2749767
2748059,2747475,2749753
2748037,2747480,2749791
2748007,2747476,2749767
2748047,2747481,2749748
2748047,2747482,2749748
2748009,2747477,2749752
2748012,2747478,2749767
2748012,2747479,2749767
2748059,2747483,2749753
2748037,2747488,2749791
2748007,2747484,2749767
2748047,2747489,2749748
2748047,2747490,2749748
2748009,2747485,2749752
2748012,2747486,2749767
2748012,2747487,2749767
2748059,2747491,2749753
2748037,2747496,2749791
2748007,2747492,2749767
2748051,2747497,2749760
2748009,2747493,2749752
2748012,2747494,2749767
2748012,2747495,2749767
2748059,2747498,2749753
2748007,2747499,2749753
2748012,2747500,2749753
2748013,2747501,2749767
2748022,2747502,2749806
2747988,2747503,2749753
2747988,2747509,2749753
2748007,2747504,2749767
2748046,2747510,2749747
2748051,2747511,2749760
2748009,2747505,2749752
2748059,2747506,2749753
2748059,2747507,2749753
2748059,2747508,2749753
2748059,2747512,2749753
2748037,2747517,2749791
2748007,2747513,2749767
2748009,2747514,2749752
2748012,2747515,2749767
2748012,2747516,2749767
2748059,2747518,2749753
2748037,2747523,2749791
2748007,2747519,2749767
2748051,2747524,2749760
2748009,2747520,2749752
2748012,2747521,2749767
2748012,2747522,2749767
2748059,2747525,2749753
2748037,2747532,2749791
2748007,2747528,2749767
2748047,2747533,2749783
2748051,2747534,2749760
2748052,2747535,2749747
2748009,2747529,2749752
2748012,2747530,2749767
2748012,2747531,2749767
2748059,2747536,2749753
2747985,2747526,2749735
2747985,2747527,2749735
2748037,2747541,2749791
2748007,2747537,2749767
2748051,2747542,2749760
2748009,2747538,2749752
2748012,2747539,2749767
2748012,2747540,2749767
2748059,2747543,2749753
2748037,2747549,2749791
2748007,2747544,2749767
2748046,2747550,2749747
2748051,2747551,2749760
2748009,2747545,2749752
2748012,2747546,2749767
2748012,2747547,2749767
2748012,2747548,2749767
2748059,2747552,2749753
2748037,2747557,2749791
2748007,2747553,2749767
2748051,2747558,2749760
2748009,2747554,2749752
2748012,2747555,2749767
2748012,2747556,2749767
2748059,2747559,2749753
2748037,2747564,2749791
2748007,2747560,2749767
2748051,2747565,2749760
2748009,2747561,2749752
2748012,2747562,2749767
2748012,2747563,2749767
2748059,2747566,2749753
2748037,2747571,2749791
2748007,2747567,2749767
