name,idFrame,name,description,name
@Causative,908,Abandonar,Um #Agente deixa para trás um #Tema efetivamente tornando-o fora de seu controle ou da segurança normal como propriedade da pessoa.,@Causative
@Stative,828,Abertura [estado],"Um #Local_útil é acessível para algum #Tema (possivelmente genérico)  apesar de uma #Barreira potencial, ou não é acessível devido à Barrieira.",@Stative
@Transition,909,Absorver,Um #Item se enche de uma #Substância como resultado do movimento de um líquido para dentro dos interstícios visíveis ou invisíveis do #Item.,@Inchoative
@Transition,469,Absorver_calor,"Uma #Entidade (geralmente comida) é exposta a uma #Fonte_de_calor na qual a #Temperatura pode também ser especificada. Geralmente, a #Entidade sofre algum tipo de mudança como resultado desse processo",@Inchoative
@Action,607,Abster-se,Um #Renunciante decide não participar de algo comum que seja #Desejável.,@Action
@Attribute,721,Abundância,A #Quantidade de uma #Coleção ocorre em um #Lugar e tem uma #Medida particular. A #Medida da #Coleção é referida apenas em termos de como a #Medida diverge de um padrão para a #Coleção de um tipo espe,@Attribute
@Eventive,1203,Abundância_distribuída,"Existe uma #Localização e um #Tema grande ou abundante. A #Localização e o #Tema são em grande parte coexistentes, isto é, ocupam a mesma área.",@Eventive
@Attribute,237,Abundante_em,"Uma #Localização é preenchida ou coberta com o #Tema.  A #Localização é percebida como o Argumento Externo, e o #Tema como complemento SP encabeçado por com, por or de. NB:  Este frame não inclui usos",@Attribute
@Causative,404,Abusar,"Um #Abusador trata a #Vítima de maneira danosa e violenta, incluindo danos físicos ou forçando a #Vítima a se envolver em uma atividade sexual contra sua vontade. A #Vítima usualmente não tem o poder ",@Causative
@Experiential,918,Acabar_de_descobrir,"Um #Experienciador, #Expressor, ou #Estado pode ser descrito como tendo uma emoção surpresa, como evocada por um #Estímulo ou relativa a um #Tópico.",@Experiential
@Eventive,639,Ação_sucedida,"Os #Meios de ação pelos quais um agente descrito (o #Protagonista) tenta alcançar um #Alvo acabaram, e o resultado real dos #Meios envolvidos, corresponde ou nãos especificamente à tentativa do #Prota",@Eventive
@Causative,6,Ação_transitiva,"Esse frame caracteriza, em um nível muito abstrato, um #Agente ou #Causa que afeta um #Paciente. Esse frame é herdado por muitos frames de nível inferior.",@Causative
@Action,741,Aceitar_ou_recusar_a_agir,"Um #Falante tanto aceita quanto se recusa a engajar em uma #Ação_proposta, proposta por um #Interlocutor.",@Action
@Experiential,844,Acertar_ou_errar,Um #Agente é bem-sucedido ou falha na interação perceptiva ou física com o #Alvo ou a #Localização_alvo. O #Instrumento que é usado para interagir com o #Alvo pode substituir metonimicamente o #Agente,@Experiential
@Causative,406,Acertar_o_alvo,Um #Agente causa o movimento balístico de um projétil e seu impacto subsequente em um #Alvo.,@Causative
@Action,1585,Acessar_mídia,"Este frame descreve cenários em que um #Agente acessa ou interage com um tipo de #Mídia. Esta interação pode incluir ações como abrir uma página da web, clicar em links, fazer o download de um arquivo",@Action
@Entity,144,Acessórios_de_vestuário,"Um #Usuário usa um #Acessório, o qual é feito de algum #Material e pode ter um #Estilo. Grande parte dos acessórios não são itens essenciais para vestir. ",@Entity
@Eventive,1258,Acidente,Este frame é usado para descrever eventos inesperados que podem causar algum tipo de dano.,@Eventive
@Causative,1318,Ações_do_árbitro,"Designa as ações do #Árbitro durante o jogo, as quais consistem em fazer a partida ocorrer conforme as regras oficiais.",@Causative
@Causative,1032,Ações_políticas,"Uma pessoa ou grupo de pessoas menos poderosas (os #Ativistas) se engaja em uma atividade destinada a incomodar ou enfraquecer uma pessoa ou grupo mais poderoso (a #Instituição) para buscar reparação,",@Causative
@Entity,1220,Acomodação,Descreve estabelecimentos comerciais que oferecem serviços de acomodação para turistas. Os estabelecimentos costumam ser classificados quanto a seu tipo e/ou qualidade.,@Entity
@Relational,233,Acompanhamento,Um #Coparticipante preenche o mesmo papel que o #Participante em um evento ou relação.,@Relational
@Transition,269,Acordar,Um #Dormidor transita por um estado de consciência onde ele está completamente inconsciente sobre a sua volta para um estado em que está acordado.,@Transition
@Causative,657,Acumular,Um #Recipiente (que pode ou não ser agentivo) termina em posse de uma #Massa (que pode ser conceptualizado como uma única entidade de massa ou como um grupo de entidades individuais). Algumas unidades,@Causative
@Eventive,109,Acusação,"Em uma audiência, um #Réu é informado sobre as #Acusações contra ele ou ela, (geralmente) entra em uma alegação e uma decisão é tomada por um #Juiz quanto à quantidade de fiança, se houver.",@Eventive
@Pragmatic,1605,Addressing_initial,Addressing_initial,@Pragmatic
@Stative,339,Adequação,"Este Frame está preocupado com a avaliação de um #Avaliado como um ser adequado para um #Propósito ou #Usuário, pressupondo algumas escolhas que está sendo feitas sobre as quais o #Avaliado usa para o",@Relational
@Action,705,Adiar,Um #Agente decide temporariamente não executar uma #Ação_desejável ou não interagir com uma #Entidade_saliente.,@Action
@Causative,436,Adicionar,Um #Pensador computa um #Resultado com base nos #Números de entrada pela adição.,@Causative
@Relational,1192,Adjacência,"Uma #Figura está localizada adjacente a um #Fundo. Isto é equivalente a #Figura e o #Fundo ou constituírem ou estarem associadas com uma zona, com cada zona em contato com a zona do outro. ",@Relational
@Action,711,Adotar_seleção,"Um #Agente seleciona e então começa a usar algum #Valor para um#Atributo. O #Atributo inclui tanto tipos físicos (tamanho, cor) quanto abstratos (crença, práticas).  Para algumas ULs neste frame, é co",@Action
@Inchoative,161,Adquirir,"Um #Receptor começa sem o #Tema em sua posse, e então vem a possuí-lo. Embora a #Fonte da qual o #Tema surgiu seja logicamente necessária, o #Receptor e sua relação de mudança com o #Tema são perfilad",@Inchoative
@Causative,207,Afetar_intencionalmente,"Um #Agente faz com que um #Paciente seja afetado, às vezes por um #Meio em particular ou pelo uso de um #Instrumento.",@Causative
@Transition,81,Afetar_pelo_evento,"Uma #Entidade sofre alguma alteração, o #Evento, que é interpretada como pontual.",@Transition
@Causative,90,Afetar_pensador_pelo_evento,"Um #Evento faz com que o #Pensador aceite algum #Conteúdo. Embora o #Pensador forme uma intenção, não implica que ele / ela atue.",@Causative
@Action,1367,Afirmar_ou_negar,"Um #Falante usa uma língua para afirmar ou negar a verdade de uma #Mensagem para um #Destinatário. Uma #Mídia também pode ser mencionado no lugar do #Falante ou adicionalmente a este. Do mesmo modo, u",@Action
@Causative,1182,Agendar,Um #Agente agenda um #Evento para acontecer em um #Tempo_agendado e em um #Lugar.,@Action
@Causative,178,Agir_intencionalmente,Este é um frame abstrato que trata de ações realizadas por seres conscientes.,@Causative
@Stative,94,Agregado,Este frame contém substantivos que denotam o #Agregado de um #Indivíduo. Os #Agregados podem ser descritos por uma #Propriedade_agregada.,@Entity
@Action,892,Agricultura,"Nesse frame, um #Agricultor cultiva um #Alimento. A localização ou o #Solo onde o alimento é cultivado pelo #Agricultor é geralmente expresso.",@Causative
@Transition,981,Agrupar,"Um grupo de #Indivíduos se junta intencionalmente para formar um #Grupo.  Alternativamente, um #Grupo_1 , gramaticalmente mais proeminente, se agrupa com um #Grupo_2, expressado em um sintagma oblíquo",@Transition
@Attribute,601,Agudeza,Uma #Entidade tem uma #Agudeza caracterizada pela sua capacidade de corte. A #Agudeza é um valor do Atributo de agudeza.,@Attribute
@Causative,630,Ajustar,Um #Agente troca uma #Parte de uma entidade complexa no que diz respeito a alguma #Característica de modo a alcançar alguma #Finalidade_imposta afetada pela #Característica.  A entidade complexa é fre,@Transition
@Eventive,623,Alcance,"Existe uma certa #Distância física dentro da qual alguma outra entidade pode participar de um #Evento (normalmente percepção ou manipulação) com o #Participante. Como alternativa, o #Evento pode ser i",@Relational
@Action,720,Alegar,"Um #Falante menciona uma #Entidade_especificada contendo um #Papel, fornecendo, assim, informações que sustentem o ponto de vista do #Falante.",@Action
@Entity,1474,Alérgenos,Este frame diz respeito à substâncias de origem natural que podem causar reações alérgicas.,@Entity
@Relational,704,Aliança,"Depois de ter trabalhado separadamente por algum tempo, dois ou mais indivíduos ou organizações, os #Membros,são agora organizados em uma #Aliança. Desta forma, pode-se propor uma #Finalidade comum. O",@Relational
@Entity,252,Alimentos_e_bebidas,Palavras que se referem a itens alimentícios e bebidas.,@Entity
@Situation,1208,Alternatividade,Existe uma #Alternativa_descrita que na qual o falante deseja focar primariamente e que é mutuamente exclusiva com a #Alternativa_contrastante. Não é possível que as duas sejam reais no mesmo contexto,@Situation
@Causative,785,Alugar,Um #Locatário ganha o uso de #Bens possuídos pelo #Locador pagando o #Locador.,@Causative
@Causative,786,Alugar_para,"Um #Locador, que é o dono de alguns #Bens, permite que um #Locatário use os #Bens temporariamente em troca de #Dinheiro.",@Causative
@Entity,571,Alvo,Um #Ponto_de_referência (em combinação com o esquema de imagem evocado por alvos específicos) serve para selecionar o local final de um #Trajetor em um evento de movimento real ou específico.,@Entity
@Transition,458,Amalgamar,"Refere-se a #Partes se unindo para formar um #Todo.  (As #Partes também podem ser codificadas como #Parte_1 e #Parte_2.)  Existe uma relação simétrica entre os componentes que passam pelo processo, e ",@Inchoative
@Causative,1558,Ameaçar,"Um #Ameaçador comunica uma intenção de causar dano ou tomar uma ação negativa contra um #Ameaçado. A #Ameaça pode ser explícita ou implícita, e pode envolver condições ou exigências para evitar o cump",@Causative
@Attribute,1117,Amigável_ou_hostil,Duas partes ou indivíduos estão do mesmo lado ou de lados diferentes de um conflito (tipicamente militar). Os dois lados podem ser expressos em conjunto como o #Lados ou separadamente como #Lado_1 e #,@Relational
@Transition,443,Andar_de_veículo,"Nesse frame, um #Tema é movido por um #Veículo que não está diretamente sob seu poder. Podem ser indicados a #Fonte, a #Trajetória, o #Alvo ou a #Área do movimento. A #Distância viajada ou a #Velocida",@Transition
@Causative,177,Anexar,O frame Anexar cobre duas situações: uma cena na qual alguém faz com que uma coisa seja fisicamente conectada a outra coisa; ou uma cena na qual alguém faz com que duas coisas sejam conectadas uma a o,@Causative
@Entity,1184,Animais,"As ULs deste frame se referem a entidades biológicas que não são humanos nem plantas, as quais são etiquetadas com o EF #Animal.
",@Entity
@Action,519,Anunciar,"Um #Comunicador anuncia (linguisticamente ou não linguisticamente) a chegada iminente de um #Indivíduol ou a ocorrência de um #Evento. Geralmente, o #Comunicador está tentando informar ao público.",@Action
@Causative,1031,Apagar,Um #Agente ou uma #Causa remove uma #Informação de um #Documento de tal forma que ela não possa ser recuperada.,@Causative
@Causative,1166,Apagar_fogo,Um #Agente faz com que um #Fogo se extinga.,@Causative
@Entity,97,Aparato,"Este frame contém palavras gerais que indicam o equipamento onde o #Uso ou o propósito não é especificado pelo lexema, mas (tipicamente) por uma expressão separada. As palavras são descritas com relaç",@Entity
@Causative,875,Aparecer_em," Um #Visitante chega à uma #Localização_do_anfitrião como o convidado de um #Anfitrião, com o objetivo de alcançar uma #Finalidade. A #Finalidade normalmente é de natureza social, isto é, a visita em ",@Causative
@Entity,648,Aparição_sideral,"Uma #Entidade_astronômica aparece acima do horizonte como parte de um processo regular e periódico de movimento (aparente) da #Entidade_astronômica através do céu. No caso do sol, o aparecimento inici",@Entity
@Causative,412,Apelação,"No estágio de Apelação de um processo criminal, o #Condenado ou seu #Representante solicita ao   #Tribunal superior que reverta a #Decisão de uma primeira instância por determinados #Motivos.",@Causative
@Causative,212,Aplicar_calor,"Um #Cozinheiro aplica calor ao #Alimento, onde a #Configuração_de_temperatura do calor e a #Duração da aplicação podem ser especificadas. Um #Instrumento_de_aquecimento, geralmente indicado por uma fr",@Causative
@Inchoative,312,Apodrecer,"Nesse frame, um #Paciente, que é uma substância orgânica, passa pelo processo natural de decomposição de um #Estado_inicial para um #Resultado.",@Inchoative
@Inchoative,312,Apodrecer,"Nesse frame, um #Paciente, que é uma substância orgânica, passa pelo processo natural de decomposição de um #Estado_inicial para um #Resultado.",@Inchoative
@Causative,883,Apoiar,Um #Apoiador ajuda a fortalecer o #Apoiado ao se empenhar em apoio material (ou auxílio abstrato em caso de usos metafóricos).,@Causative
@Causative,984,Apostar,Um #Apostador compromete um #Bem devido à previsão de uma #Situação_incerta que terá um #Resultado particular (ou uma classe de resultados). Ele ou ela perde o #Bem se a previsão estiver incorreta e o,@Causative
@Causative,1394,Apresentação_da_mitigação,"Uma #Situação_de_mitigação é apresentada como ocorrendo no contexto de uma situação mais preferível e uma situação menos preferível que, embora esperada, temida ou esperada, não ocorreu ou não ocorrer",@Relational
@Entity,1279,Arbitragem,"Congrega as pessoas de um esporte responsáveis por garantir que ele aconteça de acordo com as regras do esporte, sendo eles o árbitro e os seus assistentes.",@Entity
@Entity,173,Área_biológica,"Grandes áreas ecológicas, assim como menores localidades caracterizadas pelo tipo de vida presente em outras palavras, locais geográficos como definidos pela biota. ",@Entity
@Causative,282,Argumentar,"Um #Argumentador apresenta um #Conteúdo, junto com o #Suporte, para um #Destinatário. O #Conteúdo pode se referir de forma elíptica a um curso de ação ou pode se referir a uma proposição na qual o #De",@Relational
@Eventive,978,Aritmética,"Esse frame descreve um certo tipo de cenário matemático no qual dois números, denominados #Termo_1 e # Termo_2, interagem através de alguma operação matemática.",@Entity
@Eventive,987,Aritmética_comutativa,"Esse frame descreve tipos de operações aritméticas e declarações que têm a propriedade comutativa, isto é, a operação é bidirecional (como a adição e a multiplicação). Os termos envolvidos são individ",@Eventive
@Eventive,980,Aritmética_não-comutativa,"Esse frame descreve tipos de operações aritméticas e declarações que não são comutativas, isto é, a operação é unidirecional (como a subtração e divisão). Por causa da natureza não comutativa, os term",@Eventive
@Entity,395,Arma,"A #Arma é um artefato criado especialmente para causar dano ou prejuízo. Em muitos casos, um #Uso, #Material de construção, #Parte ou #Tipo podem ser rigorosamente especificados.",@Entity
@Entity,1059,Armadilha,O #Enganador cria uma Armadilha para fazer com que a #Vítima tenha um entendimento incorreto sobre uma situação. O #Enganador antecipa que isso levará a #Vítima a tomar um plano de ação (incluindo não,@Entity
@Entity,1073,Armadura,"#Bem cuja segurança é desejável, ele é protegido contra danos por uma cobertura, a #Armadura. A #Armadura cobre parte ou todo o #Bem e foi projetada para absorver a força de um #Perigo iminente.",@Entity
@Causative,689,Armazenar,Um #Agente guarda um #Tema em um acessível mais um pouco fora da #Localização para o propósito de mantê-lo fora de algum dano  ou uso inapropriado enquanto ele não está sendo usado.,@Causative
@Entity,510,Arquitetura_de_conexão,Uma entidade é integrada num edifício como uma #Parte de um (possivelmente não expresso) #Todo que pode referir-se a todo o edifício ou meramente a uma sub-parte do edifício. A #Parte se conecta a loc,@Relational
@Action,344,Arriscar,"Um #Agente realiza uma #Ação que é considerada imprudente. Esse frame é diferente da Tentar em que o perigo que o #Agente se coloca executando a #Ação é perfilado. O perigo não é explicado, mas geralm",@Action
@Transition,481,Arrumar,"Um #Agente coloca um #Tema complexo em uma #Configuração particular, que pode ser uma ordem própria, uma sequência correta ou apropriada ou uma posição espacial.",@Transition
@Entity,390,Artefato,"Um #Artefato é feito ou modificado por uma entidade inteligente para ser destinada a um determinado tipo de #Uso. Várias propriedades do #Artefato podem ser especificadas, como seu #Criador, o #Tempo_",@Entity
@Entity,1104,Artefato_explosivo_improvisado_operado_à_distância,"Um dispositivo explosivo improvisado, a #Bomba, é manipulado para detonar quando recebe um sinal, normalmente por um fio que leva a um gatilho. O gatilho pode ser operado diretamente pelo #Detonador, ",@Entity
@Entity,496,Artesanato,"Uma determinada #Atividade, realizada convencionalmente ou habitualmente por mais de um #Profissional dentro de uma #Cultura, é descrita em termos de seu método.",@Entity
@Action,374,Artes_performáticas,"Os #Performadores, juntamente com o #Pessoal_de_bastidores, executam uma #Performance de acordo com um #Roteiro e/ou #Marcação.  O propósito da #Performance é criar uma experiência para uma #Plateia, ",@Relational
@Attribute,760,Artificialidade,Uma #Entidade é avaliada para saber se pertence ou não a uma #Categoria_de_referência particular em um contexto em que sua categoria de associação é duvidosa. O critério ou critérios que são relevante,@Attribute
@Causative,145,Assear,"Nesse frame, um #Agente se envolve em cuidados pessoais com o corpo, asseando um #Paciente ou uma #Parte_do_corpo. Um #Instrumento pode ser usado neste processo, bem como uma #Mídia.",@Causative
@Action,552,Assinar_acordo,"Um #Signatário assina um documento de #Acordo, assim tomando um compromisso encodado no #Acordo.",@Action
@Action,360,Assistência,Um #Ajudante beneficia uma #Parte_beneficiada tornando possível o culminar de uma #Meta que a #Parte_beneficiada tem.  Uma #Entidade_focal que está envolvida em alcançar a #Meta poderá substituí-la.,@Action
@Eventive,1366,Assistir_a_evento,Um #Turista desloca-se a um #Lugar para assistir a um #Evento.,@Eventive
@Relational,511,Associação,Um #Membro é parte semi-permanente de um #Grupo socialmente construído.,@Stative
@Causative,393,Atacar,"Um #Agressor ataca fisicamente uma #Vítima (a qual está normalmente consciente, mas nem sempre), causando ou pretendendo causar um dano físico à #Vítima. Uma #Arma usada pelo #Agressor pode também ser",@Causative
@Eventive,1103,Ataque_suicida,"Um #Agressor ataca uma #Vítima, com intenção de morrer no processo. No caso prototípico, o ataque é desenhado para matar o #Agressor, como quando o piloto deliberadamente bate o avião no alvo.",@Eventive
@Stative,459,Atenção,Este frame refere-se ao estado de prontidão de um #Perceptor ao processar e considerar impressões de uma #Figura em relação a um #Fundo. A existência da #Figura dentro do #Fundo costuma não ser parte,@Stative
@Experiential,1483,Atendimento_em_saúde,Um #Paciente recebe ou busca auxílio de um #Profissional_de_saúde.,@Experiential
@Eventive,113,Atividade,"Este é um frame abstrato para atividades durativas nas quais o #Agente entra em um estado contínuo de #Atividade, permanece neste estado por determinada #Duração de #Tempo, e deixa esse estado tanto p",@Eventive
@Entity,1259,Atividades_do_turista,"Durante a visita a atrações ou lugares turísticos, o #Turista costuma se engajar em #Atividades de lazer tais como sair para comer, dançar ou mesmo fazer compras.",@Entity
@Stative,152,Atividade_abandonada,Um #Agente está em uma parte não terminada da atividade.,@Stative
@Experiential,1496,Atividade_aprendizagem,"Um #Estudante aprende um #Conteúdo, #Habilidade ou #Matéria mediado por um #Professor ou em conjunto com outros #Estudantes.",@Experiential
@Action,432,Atividade_de_combate,"Um grupo geralmente grande de pessoas, os #Combatentes, estão engajados em um #Combate caótico, violento e geralmente prolongado entre si. Não há lados distintos e geralmente nenhum objetivo particula",@Eventive
@Action,1180,Atividade_de_leitura,"Um #Leitor examina visualmente um #Texto, normalmente em uma ordem linear, para entender seu conteúdo.  No lugar do #Texto, pode-se mencionar um #Tópico.Esse frame difere do frame Reading_perception, ",@Eventive
@Action,148,Atividade_em_andamento,Um #Agente está realizando uma parte da #Atividade na qual existe estabilidade dinâmica.,@Eventive
@Action,1507,Atividade_ensino,É um evento a partir de um conjunto de métodos e técnicas que o #Professor aplica em aula para despertar o interesse dos #Estudantes. A #Atividade tem por objetivo mensurar os conhecimentos mobilizado,@Causative
@Action,134,Atividade_iniciar,Um #Agente inicia uma #Atividade na qual ele estará continuamente envolvido.,@Eventive
@Action,150,Atividade_interromper,Um #Agente cessa uma #Atividade sem completá-la.,@Eventive
@Experiential,778,Atividade_mental,"Neste frame, uma #Entidade_consciente tem alguma atividade da mente operando sobre um determinado #Conteúdo ou um #Tópico em particular. A atividade determinada pode ser perceptual, emocional ou, mais",@Experiential
@Stative,163,Atividade_pausada,Um #Agente permanece em um determinado estado de uma #Atividade sem progredir na atividade.,@Stative
@Transition,151,Atividade_pausar,Um #Agente pausa uma #Atividade em curso.,@Transition
@Stative,153,Atividade_preparada,"O #Protagonista está em um estado inicial, antes de começar a ser envolvido na #Atividade, mas todas as pré-condições para a realização da #Atividade devem ser satisfeitas. Em muitos casos, o #Protago",@Entity
@Transition,154,Atividade_preparar,Um #Agente se prepara para uma #Atividade.,@Transition
@Transition,557,Atividade_retomar,Um #Agente retoma a participação em uma #Atividade. O progresso da #Atividade foi retido antes da interrupção.,@Eventive
@Stative,164,Atividade_terminada,Um #Agente completou uma #Atividade.,@Eventive
@Transition,149,Atividade_terminar,Um #Agente termina uma #Atividade que logicamente não pode ser continuada. Esse frame é um subframe de #Atividade.,@Transition
@Entity,1281,Atletas,Esse frame contém Indivíduos que praticam um #Esporte profissionalmente.,@Entity
@Entity,1341,Atletas_por_esporte,Esse frame contém todo tipo de #Atleta que incorpora o nome do #Esporte em uma competição.,@Entity
@Entity,1282,Atletas_por_posição,Esse frame contém os atletas descritos com base na #Posição que eles ocupam em uma competição esportiva.,@Entity
@Stative,1223,Atrair_turistas,"Um #Lugar ou uma #Atração, geralmente, apresenta recursos naturais ou artificiais com valor cultural ou histórico que atraem turistas de diferentes origens.",@Entity
@Transition,610,Atravessar,"Um #Tema  muda de local em relação a um local destacado, que pode ser expresso por #Origem, #Caminho, #Alvo, #Área, #Direção, #Forma_do_Caminho ou #Distância.",@Transition
@Causative,198,Atribuição_de_nome,Este frame contém palavras que falam sobre como os #Falantes nomeiam as #Entidades.,@Causative
@Experiential,274,Atribulação,"Um #Experienciador se encontra em uma #Situação indesejável, cuja #Causa também pode ser expressa. ",@Experiential
@Attribute,485,Atributos,Uma #Entidade tem um #Atributo particular com algum #Valor. Este frame foi criado primariamente para estruturar relações de herança.,@Attribute
@Attribute,1495,Atributos_de_instituição_de_ensino,Uma #Instituição_de_ensino tem um #Atributo particular.,@Attribute
@Attribute,1503,Atributos_de_textualidade,Um #Texto tem um #Atributo particular.,@Attribute
@Attribute,503,Atributos_graduáveis,Uma #Entidade tem um #Valor implícito para um #Atributo. O #Grau expressa uma comparação explícita ou o desvio do #Valor quando comparado com outras entidades de tipo similar. O #Valor pode ser válido,@Attribute
@Attribute,486,Atributos_mensuráveis,"Uma #Entidade tem um #Atributo escalar com um valor que excede um padrão contextualmente especificado ou geralmente compreendido. Exceto onde há uma diferença em EFs, colocamos todos os adjetivos rela",@Attribute
@Action,468,Atrito,"Um #Tema se move sobre ou contra a superfície de um #Objeto_estático. (Alternativamente, #Temas se movem um contra o outro simultaneamente). O #Tema exerce pressão na superfície e experimenta resistên",@Relational
@Action,415,Audiência_judicial,Um #Interrogador faz perguntas a uma #Testemunha (ou a um réu) no contexto de um procedimento judicial.,@Relational
@Experiential,1097,Autocontrole,Um #Agente ativamente (mas nem sempre com sucesso) tenta impedir-se de participar de um #Evento. O #Agente geralmente é enviado ao evento por causa de um desejo interno.,@Experiential
