idLU,idLemma,idFrame,frameName,lu,as
28482,6613,1,Causalidade,resultado,2
18860,6613,1,Causalidade,resultado,6
19052,6679,1,Causalidade,responsável,4
45415,6679,1,Causalidade,responsável,-
43514,65355,1,Causalidade,municipal,1
43515,65355,1,Causalidade,municipal,1
46950,141852,1,Causalidade,porque,-
18640,141852,1,Causalidade,porque,43
46958,147237,1,Causalidade,portanto,-
29127,147237,1,Causalidade,portanto,3
43502,196825,1,Causalidade,portas,1
43503,196825,1,Causalidade,portas,1
26848,116877,3,Movimento,ir,-
288,116877,3,Movimento,ir,231
29341,120816,3,Movimento,serpentear,-
20442,120816,3,Movimento,serpentear,-
29445,29081,11,Movimento_corporal,open,-
4101,29081,11,Movimento_corporal,open,1
45792,59106,11,Movimento_corporal,abrir,-
26610,59106,11,Movimento_corporal,abrir,-
40535,66158,11,Movimento_corporal,piscar,-
40731,66158,11,Movimento_corporal,piscar,1
26611,117239,11,Movimento_corporal,agachar,-
40434,117239,11,Movimento_corporal,agachar,6
26612,121123,11,Movimento_corporal,agitar,-
45637,121123,11,Movimento_corporal,agitar,-
37543,14188,13,Postura,assis,-
32931,14188,13,Postura,assis,-
40358,146467,13,Postura,de pé,7
41139,146467,13,Postura,de pé,-
26568,61499,14,Conhecimento,consciente,-
45818,61499,14,Conhecimento,consciente,-
40829,61499,14,Conhecimento,consciente,-
26573,65995,14,Conhecimento,pensar,-
18581,65995,14,Conhecimento,pensar,16
4220,173,15,Tornar-se_consciente,chance,-
4223,173,15,Tornar-se_consciente,chance,-
26585,117283,15,Tornar-se_consciente,encontrar,-
22721,117283,15,Tornar-se_consciente,encontrar,11
22725,117303,15,Tornar-se_consciente,observar,8
26589,117303,15,Tornar-se_consciente,observar,-
22724,120784,15,Tornar-se_consciente,notar,6
26588,120784,15,Tornar-se_consciente,notar,-
22718,120895,15,Tornar-se_consciente,detectar,10
26584,120895,15,Tornar-se_consciente,detectar,-
43647,196914,16,Categorização,gastos,1
43655,196914,16,Categorização,gastos,1
27079,65995,17,Cogitação,pensar,-
24553,65995,17,Cogitação,pensar,122
45962,117354,17,Cogitação,considerar,-
27075,117354,17,Cogitação,considerar,-
27086,116970,18,Chegar_a_acreditar,aprender,-
46118,116970,18,Chegar_a_acreditar,aprender,-
46126,121021,19,Diferenciar,diferenciar,-
27202,121021,19,Diferenciar,diferenciar,-
29351,121047,20,Evidências,indicar,4
29353,121047,20,Evidências,indicar,-
39276,62145,21,Expectativa,dever,3
19527,62145,21,Expectativa,dever,9
27278,117301,21,Expectativa,esperar,-
19506,117301,21,Expectativa,esperar,22
27099,120745,22,Propor_ideia,inventar,-
46146,120745,22,Propor_ideia,inventar,-
47130,63847,24,Propriedade_mental,idiota,-
46325,63847,24,Propriedade_mental,idiota,-
34291,77847,24,Propriedade_mental,cerebral,1
46574,77847,24,Propriedade_mental,cerebral,-
26983,7585,25,Escrutínio,analista,-
20603,7585,25,Escrutínio,analista,-
19467,15894,25,Escrutínio,buscar,1
26986,15894,25,Escrutínio,buscar,-
26995,117256,25,Escrutínio,explorar,-
19443,117256,25,Escrutínio,explorar,6
26993,120829,25,Escrutínio,examinar,-
20605,120829,25,Escrutínio,examinar,1
27123,121129,27,Comprometimento,jurar,-
27714,121129,27,Comprometimento,jurar,12
27125,121162,27,Comprometimento,prometer,-
24885,121162,27,Comprometimento,prometer,11
27210,121071,28,Discussão,discutir,-
46695,121071,28,Discussão,discutir,-
40267,122081,30,Gesto,acenar,-
40268,122081,30,Gesto,acenar,1
46709,121117,32,Maneira_de_comunicação,gritar,-
27137,121117,32,Maneira_de_comunicação,gritar,-
209,59011,35,Pedir,pedir,169
26958,59011,35,Pedir,pedir,-
46940,117248,35,Pedir,exigir,-
26953,117248,35,Pedir,exigir,-
26963,121011,35,Pedir,solicitar,10
27332,121011,35,Pedir,solicitar,54
46941,121090,35,Pedir,ordenar,-
26957,121090,35,Pedir,ordenar,-
349,116928,36,Comunicação_resposta,responder,24
27154,116928,36,Comunicação_resposta,responder,-
26037,121195,36,Comunicação_resposta,replicar,2
27153,121195,36,Comunicação_resposta,replicar,-
39343,10648,37,Declaração,recomendação,3
40629,10648,37,Declaração,recomendação,-
18808,58994,37,Declaração,contar,11
20247,58994,37,Declaração,contar,1
37392,68338,40,Emoção_direcionada,triste,-
23853,68338,40,Emoção_direcionada,triste,15
40491,80597,40,Emoção_direcionada,encabulado,2
40624,80597,40,Emoção_direcionada,encabulado,-
315,116901,41,Estimular_emoção,irritar,15
26736,116901,41,Estimular_emoção,irritar,-
26727,116951,41,Estimular_emoção,divertir,-
47304,116951,41,Estimular_emoção,divertir,-
26729,117265,41,Estimular_emoção,encantar,-
3638,117265,41,Estimular_emoção,encantar,10
47293,121221,41,Estimular_emoção,tranquilizar,-
26741,121221,41,Estimular_emoção,tranquilizar,-
26738,121227,41,Estimular_emoção,preocupar,-
44956,121227,41,Estimular_emoção,preocupar,-
352,116931,42,Emoção_com_foco_no_experienciador,lastimar,1
23269,116931,42,Emoção_com_foco_no_experienciador,lastimar,-
47343,61850,44,Curar,curativo,-
47344,61850,44,Curar,curativo,-
47347,65786,44,Curar,paliativo,-
45104,65786,44,Curar,paliativo,-
5400,1134,48,Chegar,approach,-
5399,1134,48,Chegar,approach,-
43187,36238,48,Chegar,vê,1
43194,36238,48,Chegar,vê,1
18579,116927,48,Chegar,entrar,118
26533,116927,48,Chegar,entrar,-
47375,117164,50,Cotema,seguir,-
27345,117164,50,Cotema,seguir,5
297,116885,51,Partir,partir,118
38680,116885,51,Partir,partir,1
32497,134383,51,Partir,sortir,1
37339,134383,51,Partir,sortir,-
26125,10643,52,Esvaziar,limpeza,7
39693,10643,52,Esvaziar,limpeza,-
45355,117275,53,Preencher,revestir,-
26754,117275,53,Preencher,revestir,-
45357,120695,53,Preencher,inundar,-
26751,120695,53,Preencher,inundar,-
26744,120866,53,Preencher,adornar,-
45336,120866,53,Preencher,adornar,-
26903,117253,56,Colocar,situar,-
45378,117253,56,Colocar,situar,-
18594,120609,56,Colocar,colocar,93
26898,120609,56,Colocar,colocar,-
47474,31268,57,Remover,purga,-
47475,31268,57,Remover,purga,-
47481,113829,57,Remover,removedor,-
36411,113829,57,Remover,removedor,-
24853,120753,57,Remover,retirar,38
26946,120753,57,Remover,retirar,-
45440,1065,58,Auto_movimento,sprint,-
5890,1065,58,Auto_movimento,sprint,-
5891,1065,58,Auto_movimento,sprint,-
47487,133224,58,Auto_movimento,rastejar,-
47515,133224,58,Auto_movimento,rastejar,-
47520,198035,58,Auto_movimento,a caminho,-
47522,198035,58,Auto_movimento,a caminho,-
26861,117218,59,Operar_veículo,remar,-
45465,117218,59,Operar_veículo,remar,-
26859,121046,59,Operar_veículo,patinar,-
45466,121046,59,Operar_veículo,patinar,-
23402,8954,60,Percepção_ativa,olhar,212
23408,8954,60,Percepção_ativa,olhar,10
26876,117303,60,Percepção_ativa,observar,-
3706,117303,60,Percepção_ativa,observar,68
26882,120963,60,Percepção_ativa,palpar,-
23411,120963,60,Percepção_ativa,palpar,2
23415,120966,60,Percepção_ativa,saborear,-
26883,120966,60,Percepção_ativa,saborear,-
47533,198044,60,Percepção_ativa,olhar fixo,-
47532,198044,60,Percepção_ativa,olhar fixo,-
40529,15574,63,Fazer_barulho,burburinho,5
40445,15574,63,Fazer_barulho,burburinho,14
26891,8746,64,Experiência_de_percepção,ver,2
357,8746,64,Experiência_de_percepção,ver,132
23430,29963,64,Experiência_de_percepção,percepção,1
36116,29963,64,Experiência_de_percepção,percepção,-
26890,67412,64,Experiência_de_percepção,sentir,-
23426,67412,64,Experiência_de_percepção,sentir,33
27009,6690,65,Sensação,vista,-
27481,6690,65,Sensação,vista,1
27005,6731,65,Sensação,sabor,-
19155,6731,65,Sensação,sabor,4
47670,62904,68,Sociabilidade,extrovertido,-
37897,62904,68,Sociabilidade,extrovertido,-
47672,67606,68,Sociabilidade,solitário,-
37904,67606,68,Sociabilidade,solitário,6
39459,6610,74,Frequência,vez,4
34550,6610,74,Frequência,vez,15
19149,6727,74,Frequência,quotidiano,-
19147,6727,74,Frequência,quotidiano,1
19148,6728,74,Frequência,cotidiano,2
19146,6728,74,Frequência,cotidiano,1
22871,19725,74,Frequência,diário,9
19032,19725,74,Frequência,diário,-
39409,62249,74,Frequência,diária,14
36105,62249,74,Frequência,diária,-
22894,69668,74,Frequência,esporádico,1
36094,69668,74,Frequência,esporádico,2
37423,141406,74,Frequência,jamais,-
32648,141406,74,Frequência,jamais,2
28610,6700,75,Tempo_relativo,tarde,9
47754,6700,75,Tempo_relativo,tarde,-
28016,10997,75,Tempo_relativo,passado,19
43575,10997,75,Tempo_relativo,passado,2
32993,59991,75,Tempo_relativo,atrasado,3
45579,59991,75,Tempo_relativo,atrasado,-
47749,69838,75,Tempo_relativo,enquanto,-
18892,69838,75,Tempo_relativo,enquanto,7
29235,89608,75,Tempo_relativo,seguido,4
39487,89608,75,Tempo_relativo,seguido,-
29236,89608,75,Tempo_relativo,seguido,-
23285,8894,77,Careza,baixo custo,-
47760,8894,77,Careza,baixo custo,-
19295,73261,77,Careza,gratuito,6
27297,73261,77,Careza,gratuito,-
23278,73791,77,Careza,barato,3
27289,73791,77,Careza,barato,-
27290,73794,77,Careza,caro,-
23283,73794,77,Careza,caro,6
19404,120678,80,Tentar_persuadir,recomendar,10
26565,120678,80,Tentar_persuadir,recomendar,-
47826,8714,87,Furto,ladrão,-
22705,8714,87,Furto,ladrão,1
47820,8714,87,Furto,ladrão,-
18708,6567,93,Relações_pessoais,namorado,39
28437,6567,93,Relações_pessoais,namorado,2
18729,6576,93,Relações_pessoais,esposa,-
26060,6576,93,Relações_pessoais,esposa,-
26038,8963,93,Relações_pessoais,camarada,-
23440,8963,93,Relações_pessoais,camarada,-
26051,8968,93,Relações_pessoais,divorciado,-
23451,8968,93,Relações_pessoais,divorciado,-
26052,8968,93,Relações_pessoais,divorciado,-
23450,8968,93,Relações_pessoais,divorciado,-
23456,8970,93,Relações_pessoais,noivo,1
23452,8970,93,Relações_pessoais,noivo,-
26057,8976,93,Relações_pessoais,enamorada,-
23462,8976,93,Relações_pessoais,enamorada,-
26031,8977,93,Relações_pessoais,amante,-
23463,8977,93,Relações_pessoais,amante,2
23467,8979,93,Relações_pessoais,colega,40
26047,8979,93,Relações_pessoais,colega,-
23476,8984,93,Relações_pessoais,esposo,44
26059,8984,93,Relações_pessoais,esposo,-
23475,8984,93,Relações_pessoais,esposo,-
23480,8987,93,Relações_pessoais,viúvo,-
23479,8987,93,Relações_pessoais,viúvo,1
26039,60974,93,Relações_pessoais,casado,-
23466,60974,93,Relações_pessoais,casado,10
26070,69296,93,Relações_pessoais,íntimo,-
23442,69296,93,Relações_pessoais,íntimo,-
26046,120973,93,Relações_pessoais,cortejar,-
23447,120973,93,Relações_pessoais,cortejar,-
18945,6635,94,Agregado,multiplicidade,-
22655,6635,94,Agregado,multiplicidade,-
22409,8577,94,Agregado,classe,7
38637,8577,94,Agregado,classe,2
22413,8581,94,Agregado,colônia,2
43119,8581,94,Agregado,colônia,-
39745,2067,95,Parentesco,filho,5
3803,2067,95,Parentesco,filho,169
7248,59551,95,Parentesco,ancestral,-
47861,59551,95,Parentesco,ancestral,-
47860,63050,95,Parentesco,filial,-
7247,63050,95,Parentesco,filial,-
7246,65865,95,Parentesco,parental,-
36406,65865,95,Parentesco,parental,-
39296,62216,97,Aparato,dispositivo,1
39311,62216,97,Aparato,dispositivo,6
18830,672,101,Cenário_da_educação,professor,6
7388,672,101,Cenário_da_educação,professor,20
37376,8577,101,Cenário_da_educação,classe,-
32563,8577,101,Cenário_da_educação,classe,-
414,116970,101,Cenário_da_educação,aprender,1
27217,116970,101,Cenário_da_educação,aprender,-
7495,173,103,Chance,chance,-
42422,173,103,Chance,chance,-
43695,16122,104,Catástrofe,calamidade,2
43783,16122,104,Catástrofe,calamidade,1
23672,298,107,Posse,falta,6
45748,298,107,Posse,falta,-
45749,8598,107,Posse,querer,-
23681,8598,107,Posse,querer,11
23671,9117,107,Posse,obter,2
45750,9117,107,Posse,obter,-
29307,58994,107,Posse,contar,-
3665,58994,107,Posse,contar,10
39278,116847,107,Posse,ter,10
208,116847,107,Posse,ter,508
47942,117140,107,Posse,possuir,-
3681,117140,107,Posse,possuir,23
27564,34747,117,Tipo,tipo,47
39401,34747,117,Tipo,tipo,-
27406,37058,123,Vestuário,tecido,12
39254,37058,123,Vestuário,tecido,-
29171,37373,123,Vestuário,uwagi,-
31441,37373,123,Vestuário,uwagi,-
31440,37374,123,Vestuário,zubon,-
29172,37374,123,Vestuário,zubon,-
48067,223,125,Especialidade,craque,-
23038,223,125,Especialidade,craque,-
23026,8810,125,Especialidade,ás,-
23027,8810,125,Especialidade,ás,-
23028,8811,125,Especialidade,adepto,-
23029,8811,125,Especialidade,adepto,2
23031,8812,125,Especialidade,amador,-
23030,8812,125,Especialidade,amador,-
23037,8814,125,Especialidade,conhecedor,-
48069,8814,125,Especialidade,conhecedor,-
23072,8826,125,Especialidade,mestre,2
23069,8826,125,Especialidade,mestre,-
48073,64466,125,Especialidade,leigo,-
23067,64466,125,Especialidade,leigo,5
26769,116844,127,Dar,dar,-
278,116844,127,Dar,dar,262
25435,748,128,Parte_todo,ponta,10
39833,748,128,Parte_todo,ponta,-
45841,36713,128,Parte_todo,todo,-
34803,36713,128,Parte_todo,todo,26
48087,61416,128,Parte_todo,componente,-
39742,61416,128,Parte_todo,componente,2
35026,69418,128,Parte_todo,por cento,32
43491,69418,128,Parte_todo,por cento,8
48093,79154,129,Certeza,cético,-
48095,79154,129,Certeza,cético,-
33249,142534,129,Certeza,com certeza,10
43680,142534,129,Certeza,com certeza,2
8213,1086,131,Parte_orientacional,front,-
8257,1086,131,Parte_orientacional,front,-
23143,2137,131,Parte_orientacional,sul,5
23142,2137,131,Parte_orientacional,sul,-
23135,6661,131,Parte_orientacional,norte,2
23134,6661,131,Parte_orientacional,norte,-
23123,8603,131,Parte_orientacional,leste,-
23122,8603,131,Parte_orientacional,leste,1
23119,8843,131,Parte_orientacional,inferior,8
23120,8843,131,Parte_orientacional,inferior,-
23129,8846,131,Parte_orientacional,frente,36
23128,8846,131,Parte_orientacional,frente,6
48104,8847,131,Parte_orientacional,esquerda,-
23132,8847,131,Parte_orientacional,esquerda,59
48105,8851,131,Parte_orientacional,direita,-
23140,8851,131,Parte_orientacional,direita,49
29094,8946,131,Parte_orientacional,direito,131
45852,8946,131,Parte_orientacional,direito,-
35764,17325,131,Parte_orientacional,cima,4
35765,17325,131,Parte_orientacional,cima,3
39358,10205,141,Medida_volume,gota,1
29575,10205,141,Medida_volume,gota,7
40320,33634,144,Acessórios_de_vestuário,sombreiro,-
40264,33634,144,Acessórios_de_vestuário,sombreiro,2
40321,33634,144,Acessórios_de_vestuário,sombreiro,-
40265,33634,144,Acessórios_de_vestuário,sombreiro,1
38766,65560,146,Trajar,nu,1
48219,65560,146,Trajar,nu,-
8524,68177,146,Trajar,topless,-
48230,68177,146,Trajar,topless,-
48239,146325,146,Trajar,com,-
18591,146325,146,Trajar,com,2
27104,9334,155,Comércio_comprar,compra,-
24387,9334,155,Comércio_comprar,compra,3
202,116842,155,Comércio_comprar,comprar,161
27106,116842,155,Comércio_comprar,comprar,-
21265,24,157,Prédios,teatro,-
1879,24,157,Prédios,teatro,3
8656,80,157,Prédios,arena,-
25697,80,157,Prédios,arena,-
23693,80,157,Prédios,arena,-
30788,116,157,Prédios,bar,2
45935,116,157,Prédios,bar,-
1886,165,157,Prédios,casa,249
25886,165,157,Prédios,casa,2
23706,172,157,Prédios,chalé,-
25897,172,157,Prédios,chalé,-
19701,318,157,Prédios,fortaleza,-
19271,318,157,Prédios,fortaleza,-
45932,363,157,Prédios,hotel,-
30676,363,157,Prédios,hotel,1
30677,649,157,Prédios,motel,-
45933,649,157,Prédios,motel,-
8713,810,157,Prédios,disco,-
40626,810,157,Prédios,disco,-
1873,885,157,Prédios,zoológico,-
21268,885,157,Prédios,zoológico,-
21173,886,157,Prédios,biblioteca,-
1874,886,157,Prédios,biblioteca,7
1876,888,157,Prédios,zoo,-
21267,888,157,Prédios,zoo,-
3371,888,157,Prédios,zoo,-
1877,889,157,Prédios,centro cultural,-
21176,889,157,Prédios,centro cultural,-
25884,891,157,Prédios,casa de cultura,-
1880,891,157,Prédios,casa de cultura,5
25933,893,157,Prédios,pinacoteca,-
1882,893,157,Prédios,pinacoteca,-
25891,894,157,Prédios,catedral,-
1883,894,157,Prédios,catedral,2
25767,905,157,Prédios,basílica,-
1895,905,157,Prédios,basílica,3
19647,6916,157,Prédios,centro médico,-
21189,6916,157,Prédios,centro médico,-
19706,6970,157,Prédios,guarda municipal,-
21228,6970,157,Prédios,guarda municipal,-
19709,6973,157,Prédios,hospital municipal,-
21231,6973,157,Prédios,hospital municipal,-
19710,6974,157,Prédios,hospital infantil,-
21232,6974,157,Prédios,hospital infantil,-
19711,6975,157,Prédios,hospital militar,-
21233,6975,157,Prédios,hospital militar,-
19713,6977,157,Prédios,hospital psiquiátrico,-
21235,6977,157,Prédios,hospital psiquiátrico,-
21275,7072,157,Prédios,templo,-
19814,7072,157,Prédios,templo,23
21260,7074,157,Prédios,sauna gay,-
19816,7074,157,Prédios,sauna gay,-
20381,7417,157,Prédios,departamento,2
25905,7417,157,Prédios,departamento,-
25871,9160,157,Prédios,duplex,-
23736,9160,157,Prédios,duplex,-
23743,9166,157,Prédios,anexo,-
25695,9166,157,Prédios,anexo,-
23748,9169,157,Prédios,cobertura,1
25901,9169,157,Prédios,cobertura,-
25690,9173,157,Prédios,abrigo,-
23756,9173,157,Prédios,abrigo,21
23761,9176,157,Prédios,sinagoga,1
24593,9176,157,Prédios,sinagoga,-
25900,9533,157,Prédios,circo,-
24455,9533,157,Prédios,circo,1
25895,9574,157,Prédios,centro de eventos,-
24510,9574,157,Prédios,centro de eventos,-
24511,9575,157,Prédios,centro tecnológico,-
25896,9575,157,Prédios,centro tecnológico,-
26767,120669,161,Adquirir,adquirir,-
45939,120669,161,Adquirir,adquirir,-
33352,117122,162,Comércio_pagar,pagar,72
43063,117122,162,Comércio_pagar,pagar,1
27113,117122,162,Comércio_pagar,pagar,2
27252,117288,168,Evento,acontecer,-
3671,117288,168,Evento,acontecer,110
23998,61,169,Subpartes_de_prédios,ala,-
22550,61,169,Subpartes_de_prédios,ala,-
22133,116,169,Subpartes_de_prédios,bar,-
19450,116,169,Subpartes_de_prédios,bar,1
20667,116,169,Subpartes_de_prédios,bar,-
19451,521,169,Subpartes_de_prédios,restaurante,-
20673,521,169,Subpartes_de_prédios,restaurante,-
24009,787,169,Subpartes_de_prédios,corredor,-
22518,787,169,Subpartes_de_prédios,corredor,19
19076,873,169,Subpartes_de_prédios,piscina,3
19204,873,169,Subpartes_de_prédios,piscina,-
45970,901,169,Subpartes_de_prédios,café,-
22145,901,169,Subpartes_de_prédios,café,-
45971,902,169,Subpartes_de_prédios,cafeteria,-
22147,902,169,Subpartes_de_prédios,cafeteria,-
19447,970,169,Subpartes_de_prédios,academia,2
20665,970,169,Subpartes_de_prédios,academia,-
20678,6818,169,Subpartes_de_prédios,apartamento,-
22504,6818,169,Subpartes_de_prédios,apartamento,5
19449,6853,169,Subpartes_de_prédios,spa,-
