idLU,idLemma,idFrame,frameName,name,annotationset_count,annotation_number
18860,6613,1,Causalidade,resultado,6,0
28482,6613,1,Causalidade,resultado,2,0
19052,6679,1,Causalidade,responsável,4,0
45415,6679,1,Causalidade,responsável,0,0
43514,65355,1,Causalidade,municipal,1,0
43515,65355,1,Causalidade,municipal,1,0
46950,141852,1,Causalidade,porque,0,0
18640,141852,1,Causalidade,porque,43,0
46958,147237,1,Causalidade,portanto,0,0
29127,147237,1,Causalidade,portanto,3,0
43502,196825,1,Causalidade,portas,1,0
43503,196825,1,Causalidade,portas,1,0
26848,116877,3,Movimento,ir,0,0
288,116877,3,Movimento,ir,231,0
29445,29081,11,Movimento_corporal,open,0,0
4101,29081,11,Movimento_corporal,open,1,0
40535,66158,11,Movimento_corporal,piscar,0,0
40731,66158,11,Movimento_corporal,piscar,1,0
40434,117239,11,Movimento_corporal,agachar,6,1
26611,117239,11,Movimento_corporal,agachar,0,0
40358,146467,13,Postura,"de pé",7,0
41139,146467,13,Postura,"de pé",0,0
26573,65995,14,Conhecimento,pensar,0,0
18581,65995,14,Conhecimento,pensar,16,0
22721,117283,15,Tornar-se_consciente,encontrar,11,0
26585,117283,15,Tornar-se_consciente,encontrar,0,0
26589,117303,15,Tornar-se_consciente,observar,0,0
22725,117303,15,Tornar-se_consciente,observar,8,0
22724,120784,15,Tornar-se_consciente,notar,6,0
26588,120784,15,Tornar-se_consciente,notar,0,0
22718,120895,15,Tornar-se_consciente,detectar,10,0
26584,120895,15,Tornar-se_consciente,detectar,0,0
43647,196914,16,Categorização,gastos,1,0
43655,196914,16,Categorização,gastos,1,0
27079,65995,17,Cogitação,pensar,0,0
24553,65995,17,Cogitação,pensar,122,0
29351,121047,20,Evidências,indicar,4,0
29353,121047,20,Evidências,indicar,0,0
19527,62145,21,Expectativa,dever,9,0
39276,62145,21,Expectativa,dever,3,0
27278,117301,21,Expectativa,esperar,0,0
19506,117301,21,Expectativa,esperar,22,0
34291,77847,24,Propriedade_mental,cerebral,1,0
46574,77847,24,Propriedade_mental,cerebral,0,0
19467,15894,25,Escrutínio,buscar,1,0
26986,15894,25,Escrutínio,buscar,0,0
26995,117256,25,Escrutínio,explorar,0,0
19443,117256,25,Escrutínio,explorar,6,0
26993,120829,25,Escrutínio,examinar,0,0
20605,120829,25,Escrutínio,examinar,1,0
27123,121129,27,Comprometimento,jurar,0,0
27714,121129,27,Comprometimento,jurar,12,0
27125,121162,27,Comprometimento,prometer,0,0
24885,121162,27,Comprometimento,prometer,11,0
40268,122081,30,Gesto,acenar,1,1
40267,122081,30,Gesto,acenar,0,0
209,59011,35,Pedir,pedir,169,1
26958,59011,35,Pedir,pedir,0,0
26963,121011,35,Pedir,solicitar,10,0
27332,121011,35,Pedir,solicitar,54,0
349,116928,36,Comunicação_resposta,responder,24,0
27154,116928,36,Comunicação_resposta,responder,0,0
27153,121195,36,Comunicação_resposta,replicar,0,0
26037,121195,36,Comunicação_resposta,replicar,2,0
40629,10648,37,Declaração,recomendação,0,0
39343,10648,37,Declaração,recomendação,3,0
18808,58994,37,Declaração,contar,11,0
20247,58994,37,Declaração,contar,1,0
37392,68338,40,Emoção_direcionada,triste,0,0
23853,68338,40,Emoção_direcionada,triste,15,2
40624,80597,40,Emoção_direcionada,encabulado,0,2
40491,80597,40,Emoção_direcionada,encabulado,2,0
26736,116901,41,Estimular_emoção,irritar,0,0
315,116901,41,Estimular_emoção,irritar,15,0
26729,117265,41,Estimular_emoção,encantar,0,0
3638,117265,41,Estimular_emoção,encantar,10,0
352,116931,42,Emoção_com_foco_no_experienciador,lastimar,1,0
23269,116931,42,Emoção_com_foco_no_experienciador,lastimar,0,0
43187,36238,48,Chegar,vê,1,0
43194,36238,48,Chegar,vê,1,0
26533,116927,48,Chegar,entrar,0,0
18579,116927,48,Chegar,entrar,118,1
47375,117164,50,Cotema,seguir,0,0
27345,117164,50,Cotema,seguir,5,0
38680,116885,51,Partir,partir,1,0
297,116885,51,Partir,partir,118,0
26125,10643,52,Esvaziar,limpeza,7,0
39693,10643,52,Esvaziar,limpeza,0,0
26898,120609,56,Colocar,colocar,0,0
18594,120609,56,Colocar,colocar,93,4
24853,120753,57,Remover,retirar,38,1
26946,120753,57,Remover,retirar,0,0
23402,8954,60,Percepção_ativa,olhar,212,7
23408,8954,60,Percepção_ativa,olhar,10,10
3706,117303,60,Percepção_ativa,observar,68,2
26876,117303,60,Percepção_ativa,observar,0,0
23411,120963,60,Percepção_ativa,palpar,2,0
26882,120963,60,Percepção_ativa,palpar,0,0
40529,15574,63,Fazer_barulho,burburinho,5,0
40445,15574,63,Fazer_barulho,burburinho,14,0
357,8746,64,Experiência_de_percepção,ver,132,2
26891,8746,64,Experiência_de_percepção,ver,2,0
36116,29963,64,Experiência_de_percepção,percepção,0,0
23430,29963,64,Experiência_de_percepção,percepção,1,0
23426,67412,64,Experiência_de_percepção,sentir,33,0
26890,67412,64,Experiência_de_percepção,sentir,0,0
27009,6690,65,Sensação,vista,0,0
27481,6690,65,Sensação,vista,1,0
27005,6731,65,Sensação,sabor,0,0
19155,6731,65,Sensação,sabor,4,0
47672,67606,68,Sociabilidade,solitário,0,0
37904,67606,68,Sociabilidade,solitário,6,0
39459,6610,74,Frequência,vez,4,0
34550,6610,74,Frequência,vez,15,0
19147,6727,74,Frequência,quotidiano,1,0
19149,6727,74,Frequência,quotidiano,0,0
19148,6728,74,Frequência,cotidiano,2,0
19146,6728,74,Frequência,cotidiano,1,0
22871,19725,74,Frequência,diário,9,0
19032,19725,74,Frequência,diário,0,0
36105,62249,74,Frequência,diária,0,0
39409,62249,74,Frequência,diária,14,0
36094,69668,74,Frequência,esporádico,2,0
22894,69668,74,Frequência,esporádico,1,0
37423,141406,74,Frequência,jamais,0,0
32648,141406,74,Frequência,jamais,2,0
28610,6700,75,Tempo_relativo,tarde,9,2
47754,6700,75,Tempo_relativo,tarde,0,0
43575,10997,75,Tempo_relativo,passado,2,0
28016,10997,75,Tempo_relativo,passado,19,1
45579,59991,75,Tempo_relativo,atrasado,0,0
32993,59991,75,Tempo_relativo,atrasado,3,0
47749,69838,75,Tempo_relativo,enquanto,0,0
18892,69838,75,Tempo_relativo,enquanto,7,1
29235,89608,75,Tempo_relativo,seguido,4,0
29236,89608,75,Tempo_relativo,seguido,0,0
19295,73261,77,Careza,gratuito,6,0
27297,73261,77,Careza,gratuito,0,0
27289,73791,77,Careza,barato,0,0
23278,73791,77,Careza,barato,3,0
27290,73794,77,Careza,caro,0,0
23283,73794,77,Careza,caro,6,0
26565,120678,80,Tentar_persuadir,recomendar,0,0
19404,120678,80,Tentar_persuadir,recomendar,10,0
47820,8714,87,Furto,ladrão,0,0
22705,8714,87,Furto,ladrão,1,0
28437,6567,93,Relações_pessoais,namorado,2,0
18708,6567,93,Relações_pessoais,namorado,39,0
23456,8970,93,Relações_pessoais,noivo,1,0
23452,8970,93,Relações_pessoais,noivo,0,0
23463,8977,93,Relações_pessoais,amante,2,0
26031,8977,93,Relações_pessoais,amante,0,0
23467,8979,93,Relações_pessoais,colega,40,0
26047,8979,93,Relações_pessoais,colega,0,0
23475,8984,93,Relações_pessoais,esposo,0,1
23476,8984,93,Relações_pessoais,esposo,44,0
23479,8987,93,Relações_pessoais,viúvo,1,0
23480,8987,93,Relações_pessoais,viúvo,0,0
23466,60974,93,Relações_pessoais,casado,10,0
26039,60974,93,Relações_pessoais,casado,0,0
38637,8577,94,Agregado,classe,2,0
22409,8577,94,Agregado,classe,7,0
22413,8581,94,Agregado,colônia,2,0
43119,8581,94,Agregado,colônia,0,0
39745,2067,95,Parentesco,filho,5,10
3803,2067,95,Parentesco,filho,169,2
39296,62216,97,Aparato,dispositivo,1,0
39311,62216,97,Aparato,dispositivo,6,0
7388,672,101,Cenário_da_educação,professor,20,0
18830,672,101,Cenário_da_educação,professor,6,42
414,116970,101,Cenário_da_educação,aprender,1,0
27217,116970,101,Cenário_da_educação,aprender,0,0
43695,16122,104,Catástrofe,calamidade,2,0
43783,16122,104,Catástrofe,calamidade,1,0
23672,298,107,Posse,falta,6,0
45748,298,107,Posse,falta,0,0
45749,8598,107,Posse,querer,0,0
23681,8598,107,Posse,querer,11,0
45750,9117,107,Posse,obter,0,0
23671,9117,107,Posse,obter,2,0
29307,58994,107,Posse,contar,0,0
3665,58994,107,Posse,contar,10,0
39278,116847,107,Posse,ter,10,0
208,116847,107,Posse,ter,508,2
3681,117140,107,Posse,possuir,23,0
47942,117140,107,Posse,possuir,0,0
27564,34747,117,Tipo,tipo,47,0
39401,34747,117,Tipo,tipo,0,0
27406,37058,123,Vestuário,tecido,12,8
39254,37058,123,Vestuário,tecido,0,0
23028,8811,125,Especialidade,adepto,0,0
23029,8811,125,Especialidade,adepto,2,0
23072,8826,125,Especialidade,mestre,2,0
23069,8826,125,Especialidade,mestre,0,0
48073,64466,125,Especialidade,leigo,0,0
23067,64466,125,Especialidade,leigo,5,0
278,116844,127,Dar,dar,262,0
26769,116844,127,Dar,dar,0,0
39833,748,128,Parte_todo,ponta,0,0
25435,748,128,Parte_todo,ponta,10,0
34803,36713,128,Parte_todo,todo,26,0
45841,36713,128,Parte_todo,todo,0,0
48087,61416,128,Parte_todo,componente,0,0
39742,61416,128,Parte_todo,componente,2,0
35026,69418,128,Parte_todo,"por cento",32,0
43491,69418,128,Parte_todo,"por cento",8,0
33249,142534,129,Certeza,"com certeza",10,0
43680,142534,129,Certeza,"com certeza",2,0
23142,2137,131,Parte_orientacional,sul,0,0
23143,2137,131,Parte_orientacional,sul,5,0
23134,6661,131,Parte_orientacional,norte,0,0
