idLU,idLemma,idFrame,frameName,name,annotationset_count,annotation_number
45415,6679,1,Causalidade,responsável,0,0
46950,141852,1,Causalidade,porque,0,0
46958,147237,1,Causalidade,portanto,0,0
26848,116877,3,Movimento,ir,0,0
29445,29081,11,Movimento_corporal,open,0,0
40535,66158,11,Movimento_corporal,piscar,0,0
26611,117239,11,Movimento_corporal,agachar,0,0
41139,146467,13,Postura,"de pé",0,0
26573,65995,14,Conhecimento,pensar,0,0
26585,117283,15,Tornar-se_consciente,encontrar,0,0
26589,117303,15,Tornar-se_consciente,observar,0,0
26588,120784,15,Tornar-se_consciente,notar,0,0
26584,120895,15,Tornar-se_consciente,detectar,0,0
27079,65995,17,Cogitação,pensar,0,0
29353,121047,20,Evidências,indicar,0,0
27278,117301,21,Expectativa,esperar,0,0
46574,77847,24,Propriedade_mental,cerebral,0,0
26986,15894,25,Escrutínio,buscar,0,0
26995,117256,25,Escrutínio,explorar,0,0
26993,120829,25,Escrutínio,examinar,0,0
27123,121129,27,Comprometimento,jurar,0,0
27125,121162,27,Comprometimento,prometer,0,0
40267,122081,30,Gesto,acenar,0,0
26958,59011,35,Pedir,pedir,0,0
27154,116928,36,Comunicação_resposta,responder,0,0
27153,121195,36,Comunicação_resposta,replicar,0,0
40629,10648,37,Declaração,recomendação,0,0
37392,68338,40,Emoção_direcionada,triste,0,0
26736,116901,41,Estimular_emoção,irritar,0,0
26729,117265,41,Estimular_emoção,encantar,0,0
23269,116931,42,Emoção_com_foco_no_experienciador,lastimar,0,0
26533,116927,48,Chegar,entrar,0,0
47375,117164,50,Cotema,seguir,0,0
39693,10643,52,Esvaziar,limpeza,0,0
26898,120609,56,Colocar,colocar,0,0
26946,120753,57,Remover,retirar,0,0
26876,117303,60,Percepção_ativa,observar,0,0
26882,120963,60,Percepção_ativa,palpar,0,0
36116,29963,64,Experiência_de_percepção,percepção,0,0
26890,67412,64,Experiência_de_percepção,sentir,0,0
27009,6690,65,Sensação,vista,0,0
27005,6731,65,Sensação,sabor,0,0
47672,67606,68,Sociabilidade,solitário,0,0
19149,6727,74,Frequência,quotidiano,0,0
19032,19725,74,Frequência,diário,0,0
36105,62249,74,Frequência,diária,0,0
37423,141406,74,Frequência,jamais,0,0
47754,6700,75,Tempo_relativo,tarde,0,0
45579,59991,75,Tempo_relativo,atrasado,0,0
47749,69838,75,Tempo_relativo,enquanto,0,0
29236,89608,75,Tempo_relativo,seguido,0,0
27297,73261,77,Careza,gratuito,0,0
27289,73791,77,Careza,barato,0,0
27290,73794,77,Careza,caro,0,0
26565,120678,80,Tentar_persuadir,recomendar,0,0
47820,8714,87,Furto,ladrão,0,0
23452,8970,93,Relações_pessoais,noivo,0,0
26031,8977,93,Relações_pessoais,amante,0,0
26047,8979,93,Relações_pessoais,colega,0,0
23480,8987,93,Relações_pessoais,viúvo,0,0
26039,60974,93,Relações_pessoais,casado,0,0
43119,8581,94,Agregado,colônia,0,0
27217,116970,101,Cenário_da_educação,aprender,0,0
45748,298,107,Posse,falta,0,0
45749,8598,107,Posse,querer,0,0
45750,9117,107,Posse,obter,0,0
29307,58994,107,Posse,contar,0,0
47942,117140,107,Posse,possuir,0,0
39401,34747,117,Tipo,tipo,0,0
39254,37058,123,Vestuário,tecido,0,0
23028,8811,125,Especialidade,adepto,0,0
23069,8826,125,Especialidade,mestre,0,0
48073,64466,125,Especialidade,leigo,0,0
26769,116844,127,Dar,dar,0,0
39833,748,128,Parte_todo,ponta,0,0
45841,36713,128,Parte_todo,todo,0,0
48087,61416,128,Parte_todo,componente,0,0
23142,2137,131,Parte_orientacional,sul,0,0
23134,6661,131,Parte_orientacional,norte,0,0
23123,8603,131,Parte_orientacional,leste,0,0
23120,8843,131,Parte_orientacional,inferior,0,0
48104,8847,131,Parte_orientacional,esquerda,0,0
48105,8851,131,Parte_orientacional,direita,0,0
45852,8946,131,Parte_orientacional,direito,0,0
48219,65560,146,Trajar,nu,0,0
48239,146325,146,Trajar,com,0,0
27104,9334,155,Comércio_comprar,compra,0,0
27106,116842,155,Comércio_comprar,comprar,0,0
21265,24,157,Prédios,teatro,0,0
45935,116,157,Prédios,bar,0,0
45932,363,157,Prédios,hotel,0,0
21173,886,157,Prédios,biblioteca,0,0
25884,891,157,Prédios,"casa de cultura",0,0
25891,894,157,Prédios,catedral,0,0
25767,905,157,Prédios,basílica,0,0
21275,7072,157,Prédios,templo,0,0
25905,7417,157,Prédios,departamento,0,0
25901,9169,157,Prédios,cobertura,0,0
25690,9173,157,Prédios,abrigo,0,0
24593,9176,157,Prédios,sinagoga,0,0
25900,9533,157,Prédios,circo,0,0
27252,117288,168,Evento,acontecer,0,0
20667,116,169,Subpartes_de_prédios,bar,0,0
24009,787,169,Subpartes_de_prédios,corredor,0,0
19204,873,169,Subpartes_de_prédios,piscina,0,0
20665,970,169,Subpartes_de_prédios,academia,0,0
20678,6818,169,Subpartes_de_prédios,apartamento,0,0
24024,8635,169,Subpartes_de_prédios,"sala de estar",0,0
24011,8651,169,Subpartes_de_prédios,depósito,0,0
24004,8657,169,Subpartes_de_prédios,torre,0,0
48368,73932,169,Subpartes_de_prédios,térreo,0,0
48383,65334,170,Massa_quantificada,muito,0,0
41383,66069,170,Massa_quantificada,pesar,0,0
48371,66314,170,Massa_quantificada,pouco,0,0
48389,86374,170,Massa_quantificada,nenhum,0,0
45985,88355,170,Massa_quantificada,qualquer,0,0
20831,25,171,Locais_naturais,monte,0,0
25729,154,171,Locais_naturais,campo,0,0
19094,715,171,Locais_naturais,morro,0,0
20836,716,171,Locais_naturais,lago,0,0
30683,720,171,Locais_naturais,vale,0,0
20814,721,171,Locais_naturais,canal,0,0
20842,726,171,Locais_naturais,gruta,0,0
25713,736,171,Locais_naturais,bosque,0,0
20832,874,171,Locais_naturais,mar,0,0
25720,6545,171,Locais_naturais,mundo,0,0
25714,6666,171,Locais_naturais,caudal,0,0
19201,6689,171,Locais_naturais,parque,0,0
25724,6828,171,Locais_naturais,pantanal,0,0
20838,6831,171,Locais_naturais,chapada,0,0
46004,26133,171,Locais_naturais,lava,0,0
25455,76,172,Local,área,0,0
25463,956,172,Local,lugar,0,0
25462,957,172,Local,local,0,0
43121,2052,172,Local,região,0,0
25464,6559,172,Local,periferia,0,0
25466,6585,172,Local,planeta,0,0
25459,6688,172,Local,centro,0,0
25454,9458,172,Local,ambiente,0,0
25456,9695,172,Local,zona,0,0
27911,10730,172,Local,núcleo,0,0
27913,11536,172,Local,mancha,0,0
25765,73926,172,Local,urbano,0,0
19262,696,173,Área_biológica,mato,0,0
20771,2114,175,Locais_políticos,capital,0,0
20781,6545,175,Locais_políticos,mundo,0,0
20789,6583,175,Locais_políticos,país,0,0
20772,6735,175,Locais_políticos,distrito,0,0
25742,9563,175,Locais_políticos,favela,0,0
46024,64117,175,Locais_políticos,internacional,0,0
9162,65355,175,Locais_políticos,municipal,0,0
21883,2132,176,Locais_por_uso,interior,0,0
21041,7035,176,Locais_por_uso,monumento,0,0
25738,9333,176,Locais_por_uso,chafariz,0,0
25760,9786,176,Locais_por_uso,meca,0,0
9190,67192,176,Locais_por_uso,rural,0,0
26838,33516,179,Relação_locativa,sobre,0,0
46080,63148,179,Relação_locativa,fora,0,0
48570,66061,179,Relação_locativa,perto,0,0
48583,139825,179,Relação_locativa,"ao longo de",0,0
46079,139903,179,Relação_locativa,abaixo,0,0
19203,6701,183,Vias,avenida,0,0
26208,10695,191,Vício,viciado,0,0
38845,20106,191,Vício,drogado,0,0
38031,70269,191,Vício,alcoolista,0,0
22463,2137,193,"Direção ",sul,0,0
19269,6661,193,"Direção ",norte,0,0
29311,17339,196,Números_cardinais,cinco,0,0
48618,31397,196,Números_cardinais,quatorze,0,0
37284,31499,196,Números_cardinais,quinze,0,0
46098,36053,196,Números_cardinais,vinte,0,0
9487,36465,196,Números_cardinais,zero,0,0
28910,116707,196,Números_cardinais,"trinta e dois",0,0
48619,116808,196,Números_cardinais,"quarenta e cinco",0,0
48643,61819,197,Comunicação_de_julgamento,crítico,0,0
26798,121104,197,Comunicação_de_julgamento,acusar,0,0
26801,121231,197,Comunicação_de_julgamento,criticar,0,0
43812,31386,206,Unidade_calêndrica,quarta-feira,0,0
48710,59463,206,Unidade_calêndrica,amanhã,0,0
48709,65673,206,Unidade_calêndrica,ontem,0,0
48736,64592,211,Descrição_parte_do_corpo,loiro,0,0
48737,65285,211,Descrição_parte_do_corpo,moreno,0,0
48739,67188,211,Descrição_parte_do_corpo,ruivo,0,0
36686,60923,215,Condições_em_saúde,cardiopata,0,0
26635,117255,216,Transportar,transportar,0,0
27828,78319,217,Competição,competitivo,0,0
693,117060,217,Competição,disputar,0,0
27820,117241,217,Competição,competir,0,0
48873,67650,233,Acompanhamento,sozinho,0,0
32177,146325,233,Acompanhamento,com,0,0
26796,117247,238,Ingestão,tomar,0,0
23908,120737,238,Ingestão,consumir,0,0
48924,120749,243,Criação_culinária,assar,0,0
