idLU,lemmaName(en),senseDescription(en),idFrame,frameName,idPOS,lemmaName(pt),senseDescription(pt),idLemma(pt)
3916,"bring about","COD: cause something to happen.",1,Causation,86,causar,"COD: causar algo para acontecer.",
3918,precipitate,"COD: cause (an undesirable event) to happen unexpectedly or prematurely.",1,Causation,86,precipitar,"COD: causar (um evento indesejado) inesperadamente ou prematuramente.",
3919,causative,"COD: acting as a cause",1,Causation,84,causativo,"COD: agindo como uma causa",
3922,"bring on","FN: lead to",1,Causation,86,provocar,"FN: levar a",
3923,induce,"COD: bring about or give rise to.",1,Causation,86,induzir,"COD: trazer sobre ou dar origem a.",
3926,since,"COD: for the reason that; because.",1,Causation,91,"desde que","COD: pelo motivo de; porque.",
3926,since,"COD: for the reason that; because.",1,Causation,94,"desde que","COD: pelo motivo de; porque.",
3927,because,"COD: for the reason that; since",1,Causation,91,porque,"Porque; visto que",
3927,because,"COD: for the reason that; since",1,Causation,94,porque,"Por que; visto que",
3928,"because of","COD: by reason of.",1,Causation,90,"por causa de","COD: por motivo de.",
3934,for,"FN: because, for the reason that",1,Causation,91,porque,"FN: porque, pelo motivo de",
3934,for,"FN: because, for the reason that",1,Causation,94,porque,"FN: porque, pelo motivo de",
3938,so,"FN: in order to, causing",1,Causation,91,"para que","FN: a fim de, causando",
3938,so,"FN: in order to, causing",1,Causation,94,"para que","FN: a fim de, causando",
3939,"due to","FN: because of",1,Causation,90,"devido a","FN: por causa de",
3942,resulting,"FN: occuring or produced as a result of some other event",1,Causation,84,resultante,"FN: ocorrendo ou produzido como resultado de algum outro evento",
3943,consequent,"FN: resulting, caused by an earlier event",1,Causation,84,consequente,"FN: resultante, causado por um evento anterior",
3944,consequential,"FN: resulting, espescially resutling indirectly from an earlier event",1,Causation,84,consequente,"FN: resultante, especialmente indiretamente de um evento anterior",
3945,resultant,"FN: resulting, of a situation or event caused by an earlier event",1,Causation,84,resultante,"FN: resultante de uma situação ou evento causado por um evento anterior",
3946,dictate,"controlled by",1,Causation,86,ditar,"controlado por",
3949,legacy,"FN: in this frame, simply a metaphorical term for a result.",1,Causation,83,legado,"FN: neste quadro, um termo metafórico para um resultado.",
31186,"so that","in order that. With the result that.",1,Causation,91,"para que","a fim de que. Com o resultado de que.",
31186,"so that","in order that. With the result that.",1,Causation,94,"para que","a fim de que. Com o resultado de que.",
31294,therefore,"for that reason; consequently.",1,Causation,89,portanto,"por esse motivo; consequentemente.",
3959,codeword,"FN: A word or phrase to protect secrecy.  ",2,Communication,83,palavra-código,"FN: Uma palavra ou frase para proteger o segredo.",
3961,convey,"COD: communicate (an idea, impression, or feeling).",2,Communication,86,comunicar,"COD: comunicar (uma ideia, impressão ou sentimento).",
3962,say,"FN: communicate a message nonverbally",2,Communication,86,expressar,"FN: comunicar uma mensagem não verbalmente",
3965,go,"COD: move from one place to another; travel. ",3,Motion,86,ir,"COD: mover-se de um lugar para outro; viajar.",
3966,drift,"COD: be carried slowly by a current of air or water. ",3,Motion,86,derivar,"COD: ser levado lentamente por uma corrente de ar ou água.",
3968,blow,"COD: be carried or driven by the wind. ",3,Motion,86,soprar,"COD: ser levado ou conduzido pelo vento.",
3970,coast,"COD: move easily without using power. ",3,Motion,86,deslizar,"COD: move facilmente sem usar energia.",
3974,slide,"COD: move along a smooth surface, especially downwards, while maintaining continuous contact with it.",3,Motion,86,deslizar,"COD: mover-se ao longo de uma superfície lisa, especialmente para baixo, mantendo contato contínuo com ela.",
3977,meander,"COD: follow a winding course, or wander aimlessly. ",3,Motion,86,serpentear,"COD: seguir um curso sinuoso ou vaguear sem rumo.",
3978,undulate,"COD: move with a smooth wave-like motion",3,Motion,86,ondular,"COD: move com um movimento suave e ondulante",
3984,zigzag,"FN: to move in a back and forth manner while proceeding forward",3,Motion,86,ziguezaguear,"FN: mover-se de maneira para frente e para trás enquanto avança",
3989,come,"FN: move (towards the speaker).",3,Motion,86,vir,"FN: movimento (em direção ao falante).",
29344,swirl,"to move in a twisting or spiraling pattern.",3,Motion,86,redemoinhar,"mover-se em um padrão torcido ou espiralado.",
34179,hustle,"Quick movement.",3,Motion,83,agitação,"Movimento rápido.",
3990,clone,"COD: a person or thing regarded as identical with another; a copy or double. ",7,Duplication,83,clone,"COD: uma pessoa ou coisa considerada idêntica a outra; uma cópia ou duplicata.",
