lemmaCorrected,lemmaName(pt),lemmaName(en),idUDPOS,senseDescription(pt)
induzir,induz,induce,16,"COD: trazer sobre ou dar origem a."
"desde que","desde que",since,5,"COD: pelo motivo de; porque."
"por causa de","por causa de","because of",2,"COD: por motivo de."
"para que","para que",so,5,"FN: a fim de, causando"
"devido a","devido a","due to",2,"FN: por causa de"
"para que","para que","so that",5,"a fim de que. Com o resultado de que."
portanto,portanto,therefore,3,"por esse motivo; consequentemente."
palavra-código,palavra-código,codeword,8,"FN: Uma palavra ou frase para proteger o segredo."
ondular,undular,undulate,16,"COD: move com um movimento suave e ondulante"
reproduzir,reproduz,reproduce,16,"COD: produz uma cópia ou representação de."
similarmente,"em imagem","in image",3,"descreve que alguma entidade é criada para ter a semelhança de outra entidade, como de uma cópia"
compostar,compostar,compound,16,"COD: mistura ou combina (ingredientes ou constituintes)."
bisectar,bisectar,bisect,16,"FN: cortar ao meio"
"dar de ombros","Encolher os ombros",shrug,16,"COD: erguer (ombros de alguém) ligeiramente e momentaneamente para expressar dúvida, ignorância ou indiferença."
remexer-se,remexer-se,shuffle,16,"COD: inquietamente mudar de posição uma."
ajoelhar-se,ajoelhar-se,kneel,16,"COD: cair ou descansar no joelho ou nos joelhos."
remexer-se,remexer-se,fidget,16,"COD: fazer pequenos movimentos por nervosismo ou impaciência."
abaixar-se,abaixar-se,duck,16,"COD: abaixe rapidamente a cabeça ou o corpo para evitar um golpe ou projétil ou para não ser visto."
agachar-se,agachar-se,crouch,16,"FN: estar em uma posição onde os joelhos estão flexionados e o tronco superior é levado para frente e para baixo."
sentar-se,Sentar-se,sit,16,"COD: estar em uma posição na qual o peso é suportado pelo traseiro, em vez dos pés, e a coluna está ereta."
encolhido,encolhidos,huddled,1,"FN: tendo as extremidades desenhadas de forma que o corpo ocupe pouco espaço."
deitar-se,deitar-se,"lay back",16,"Deitar-se de forma relaxada."
presumir,presume,presume,16,"FN: assume que algo é o caso ausente prova em contrário"
observar,Observe,observe,16,"FN: detectar um fenômeno"
descubrir,Descubra,"find out",16,"FN: descobrir informação ou um facto."
classificar,classifique,categorize,16,"COD: lugar em uma categoria específica; classificar."
definir,define,define,16,"Distinguir ou caracterizar"
refletir,"refletir sobre","mull over",16,"COD: pense profundamente."
"dar atenção","dar atenção","give thought",17,"FN: dar consideração ou atenção cuidadosa."
distinguir,"distinguir de","tell from",16,"FN: distinguir alguma coisa de outra"
contradizer,contradiz,contradict,16,"FN: a verdade de (uma afirmação) ao afirmar o contrário"
implicar,implica,imply,16,"COD: (de um fato ou ocorrência) sugerir como uma consequência lógica."
apontar,"apontar para","point to",16,"FN: (de algum fato ou estado de coisas) fornecer evidência para uma conclusão."
corresponder,corresponde,correspond,16,"ser um sinal ou sintoma de; implicar fortemente."
aguardar,aguarde,await,16,"Cod: espere por"
concepção,concoção,concoction,8,"FN: o processo ou resultado de criar ou inventar (uma história ou plano)"
"vir com (algo)","vir com (algo)","come up (with)",16,"Inventar; criar (uma ideia, uma história, etc.)"
derisivo,derisivo,derisive,1,"COD: expressando desprezo ou ridicularização."
vilificação,vilificação,vilification,8,"COD: o ato de falar ou escrever sobre alguém de maneira depreciativa e abusiva."
repreensível,Reprehensível,reprehensible,1,"FN: julgado como digno de condenação"
considerar,"atribuir importância","set store",16,"COD: considerar estar de um grau particular de importância"
"mente aberta","de mente aberta",broad-minded,1,"COD: tolerante ou liberal."
tolosidade,Tolosidade,foolishness,8,"FN: comportamento que carece de sentido, julgamento ou discrição"
"mal pensado","mal pensado",ill-advised,1,"COD: mal pensado"
desatento,Inatento,inattentive,1,"COD: não atender ao conforto ou aos desejos dos outros"
"sem sentido","Sem sentido",nonsensical,1,"FN: sem significado ou bom senso"
"com cuidado","com cuidado",carefully,3,"FN: com atenção suficiente"
verificar,"verificar novamente",double-check,16,"COD: cheque novamente"
espiar,"Espiar o terreno","spy out the land",16,"FN: observar secretamente um lugar por motivos hostis"
olhada,"Uma olhada",once-over,8,"COD: uma inspeção rápida, busca ou peça de trabalho."
verdadeiro,Verdadeiro.,true,1,"FN: Honesto, direto"
comprometer-se,comprometer-se,pledge,16,"COD: assumir solenemente o compromisso de fazer ou dar algo"
debatedor,debatedor,discussant,8,"FN: alguém que participa de uma discussão formal"
falar,"falar (com)",talk_(to),16,"FN: discutir ou conferir com outro sobre algo"
fraseamento,fraseamento,phrasing,8,"FN: a forma como um texto é formulado"
expressar,express,express,16,"FN: para transmitir uma emoção ou mensagem de uma maneira especificada"
"acenar com a cabeça","acenar com a cabeça",nod,16,"FN: abaixar e levantar ligeiramente e brevemente a cabeça para transmitir uma mensagem"
"falar arrastado","falar arrastado",drawl,16,"COD: fale de forma lenta, preguiçosa, com vogais alongadas"
conversa,Conversa,natter,16,"COD: bate papo descontraído."
zurro,zurro,bray,16,"FN: emitir um grito alto e agudo."
cacarear,Cacarear,cackle,16,"COD: falar de maneira inconsequente e por longos períodos."
croacitar,croacitar,croak,16,"COD: farfalhado."
gemido,Gemido,groan,16,"COD: fazer um som inarticulado profundo em resposta à dor ou desespero."
"rir nervosamente","rir nervosamente",titter,16,"COD: dê uma olhada rápida."
queixar-se,Queixar-se,whine,16,"COD: reclamar de uma forma fraquinha ou caprichosa."
candidatar-se,"candidatar-se a","apply for",16,"FN: pedir algum estado de assuntos de uma maneira mais formal, geralmente envolvendo papelada"
"sorrir com desdém","sorrir com desdém",smirk,16,"COD: sorria de uma forma irritantemente arrogante ou boba."
reticiente,reticiente,reticent,1,"COD: não revelar pensamentos ou sentimentos prontamente"
falastrão,falastrão,"big mouth",8,"COD: uma pessoa indiscreta ou vaidosa."
expansivo,expansiva,expansive,1,"COD: relaxado, genial e comunicativo."
silencioso,"Pouco comunicativo",uncommunicative,1,"COD: Indisposta a falar ou fornecer informações."
chateado,chateada,upset,1,"FN: estar zangado ou infeliz por causa de uma determinada situação"
resentido,Resentido,resentful,1,"COD: sentir amargor"
triste,Triste.,sorrowful,1,"FN: cheio de tristeza"
atormentado,tormentado,tormented,1,"FN: experimentando grande angústia"
confuso,Confuso.,befuddled,1,"Confuso ou perplexo"
desconserto,desconsertação,disconcertion,8,"FN: o estado de estar desconcertado"
extático,ecstático,ecstatic,1,"FN: sentir sentimentos maravilhosos de felicidade e alegria"
"coração partido","de coração partido",heartbroken,1,"COD: sofrendo de angústia esmagadora; muito perturbado."
horrorisado,horrificado,horrified,1,"FN: chocado ou abalado."
enfurecido,infuriado,infuriated,1,"FN: cheio de raiva e fúria"
farto,Farto.,"fed up",1,"FN: insatisfeito como resultado de ter que suportar por muito tempo."
interessado,"tudo sobre","all about",2,"FN: extremamente interessado em."
antagonizar,Antagonizar,antagonize,16,"COD: causar hostilidade."
frustrarfrustra,frustrate,16,"COD: causar insatisfação ou falta de realização."
enfurecer,infuriar,infuriate,16,"COD: irritar ou fazer ficar com raiva."
confundir,perplexar,perplex,16,"COD: causar uma sensação de confusão."
estupefazer,Estupefiar,stupefy,16,"COD: espantar e chocar"
"ficar sério",soberar,sober,16,"COD: fazer ou se tornar sério"
"explodir a mente","explodir a mente","blow (one's) mind",17,"Surpreender alguém de forma forte."
gostar,"gostar de",like,16,"COD: encontrar agradável, agradável ou satisfatório"
medroso,"com medo",afraid,1,"COD: temeroso ou ansioso."
irritar-se,irritar-se,chafe,16,"COD: ficar irritado ou impaciente devido a uma restrição ou inconveniente"
enfurecer-se,enfurecer-se,fume,16,"COD: sentir grande raiva."
reabilitar,rehabilitar,rehabilitate,16,"FN: restaurar à saúde ou à vida normal através de treinamento e terapia após a dependência ou doença"
reabilitativo,Reabilitativo,rehabilitative,1,"FN: ter a função de restaurar à saúde ou à vida normal por meio de treinamento e terapia após prisão, vício ou doença"
animar-se,animar-se,"perk up",16,"FN: para se curar."
"bater as botas","Bater as botas",croak,16,"COD: morrer."
"bater as botas","Bater as botas","kick the bucket",16,"COD: (s.v. chutar) morrer."
"bater as botas","bater as botas","croak it",16,"FN: morrer"
chegar,"chegar a","get to",16,"chegar a um destino."
impelir,impeler,impel,16,"FN: fazer mover ou causar que se mova para a frente; comunicar movimento"
escoltar,escortar,escort,16,"COD: Acompanhar como escolta."
seguir,"seguir como sombra","dog steps",17,"FN: seguir de forma perturbadoramente determinada."
liderar,"Liderar o caminho","lead the way",16,"FN: levar (alguma pessoa ou pessoas não especificadas) a um local ao longo de um caminho específico. Embora este LU, à primeira vista, pareça ser um exemplo da Construção do Caminho (ver entrada Constructicon), difere em forma (o ""o"" fixo antes do ""caminho"", nunca um possessivo como é usual na Construção do Caminho) e em significado (o Cotheme omitido é DNI, não o INI que é usual para objetos diretos omitidos na Construção do Caminho; o Objetivo ou Caminho também pode ser omitido, ao contrário da Construção do Caminho)."
sair,"sair rapidamente",vamoose,16,"COD: partiu precipitadamente."
sair,"sair rapidamente",skedaddle,16,"FN: partir rapidamente"
emergir,emerge,emerge,16,"FN: vir à tona (de uma posição escondida)."
purgar,purga,purge,16,"FN: livre de impurezas, limpar, livrar-se de coisas indesejadas"
descontaminar,descontaminar,decontaminate,16,"COD: remove substâncias perigosas de."
semear,semeia,sow,16,"COD: plante (área) com semente"
permear,permeiar,suffuse,16,"COD: gradualmente se espalhou por ou sobre"
glacear,glacear,glaze,16,"COD: cobrir com um glaseado."
enfeitar,acessorizar,accessorize,16,"FN: fornecer a uma entidade enfeites não essenciais"
deitado,deitado,"in image",3,deitar
"jogar fora","Jogue fora","throw away",16,"Atirar algo no lixo."
removedor,removedor,remover,8,
agitar-se,agitar-se,bustle,16,"COD: move energicamente ou de forma barulhenta"
caminhar,"caminhar pesadamente",clomp,16,"COD: caminhar com um passo largo e firme"
apressar-se,Apressar-se,hasten,16,"COD: seja rápido em fazer algo; mova-se rapidamente. nenhuma definição apropriada em COD"
apressar-se,apressar-se,hurry,16,"COD: mover ou agir rapidamente ou mais rapidamente."
caminhar,"caminhar pesadamente",plod,16,"COD: caminhar com determinação e lentamente com passos pesados."
apressar-se,Apressar-se,rush,16,"FN: vá para algum lugar com urgência"
passear,"caminhar despreocupadamente",saunter,16,"COD: caminhe de maneira lenta e relaxada."
escalada,escalaminhada,scramble,8,"COD: uma caminhada por terreno acidentado que envolve o uso das mãos."
arrastar-se,arrastar-se,shuffle,16,"COD: caminhar arrastando os pés ou sem levantá-los completamente do chão."
esgueirar-se,"Esgueirar-se furtivamente",skulk,16,"COD: esconder ou se mover secretamente, geralmente com uma motivação sinistra ou covarde."
desviar,eslalonar,slalom,16,"COD: mover ou correr em um caminho sinuoso, evitando obstáculos."
caminhar,"caminhar com dificuldade",slog,16,"COD: caminhar ou mover-se com dificuldade ou esforço"
pisar,"pisar forte",stomp,16,"COD: tropeça e faz barulho, tipicamente para mostrar raiva."
"ficar para trás","ficar para trás",straggle,16,"COD: mova-se lentamente para ficar atrás da pessoa ou das pessoas à frente"
caminhar,"caminhar com passo largo e seguro",stride,16,"COD: caminhe com passos longos e decididos."
"andar na ponta dos pés","andar na ponta dos pés",tiptoe,16,"COD: caminhe silenciosamente e cuidadosamente com os calcanhares elevados e o peso nos pés."
caminhar,"caminhar pesadamente",tramp,16,"COD: caminhar fortemente ou barulhento."
mover-se,trundlar,trundle,16,"COD: move lentamente e de forma irregular, como se estivesse sobre rodas."
marchar,"marchar em passo de ganso",goose-step,16,"FN: marchar com um passo militar em que as pernas não são dobradas no joelho"
rastejar,rastejo,crawl,8,"COD: uma ação de rastejar."
"ir direto","ir direto","make a beeline",16,"COD: apresse-se para"
efeminar-se,afeminar-se,nance,16,"FN: se mover de maneira notavelmente efeminada"
enfileirar-se,enfileirar-se,file,16,"FN: mover-se em uma linha com outros"
"alçar vôo","Alçar voo","take to the air",16,"FN: começar a voar"
"a caminho","a caminho",enroute,1,"FN: atualmente viajando para"
"a caminho","A caminho de","en route",3,"FN: atualmente viajando para."
trilheiro,Trilheiro,hiker,8,"FN: uma pessoa envolvida em caminhar para apreciar a beleza da natureza."
"jogo de pés","jogo de pés",footwork,8,"A forma como uma pessoa move os pés durante um esporte, como uma luta."
"lançar de paraquedas","lançar de paraquedas",parachute,16,"COD: soltar ou causar que alguém solte por paraquedas."
"navegar de balsa","navegar de balsa",raft,16,"COD: viajar ou transportar em ou como se estivesse em uma balsa"
"andar de trenó","andar de trenó",toboggan,16,"COD: andar em um trenó."
espionar,"escutar conversas alheias",eavesdrop,16,"COD: escutar secretamente uma conversa"
olhada,"olhar rápido",glance,8,"COD: uma olhada rápida ou apressada"
ouvir,ouça,listen,16,"COD: dar atenção a um som; fazer esforço para ouvir algo"
cheirada,cheirada,sniff,8,"FN: o ato de soprar ar de forma audível pela nariz, especialmente para cheirar"
"olhar fixo","Olhar fixo",stare,8,"COD: um olhar fixo em alguém ou algo com os olhos bem abertos"
"olhar fixo","Olhar fixamente",stare,16,"COD: olhar fixamente para alguém ou algo com os olhos bem abertos"
observar,observe,watch,16,"COD: olhe atentamente"
encarar,"encarar estupidamente",gawk,16,"COD: olhar fixamente e estúpidomente."
doer,"está matando","be killing",16,"FN: ((algum objeto, geralmente uma parte do corpo)) causa dor em"
zurrar,zurra,bray,16,"FN: emitir o alto e rude choro característico de um burro"
miar,"miar estridentemente",caterwaul,16,"COD: fazer um barulho agudo de uivo ou lamento."
gemido,Gemido,moan,16,"COD: gemer ou fazer um gemido."
plopar,plopar,plop,16,"FN: fazer um som curto e entediante, como de um objeto caindo na água sem fazer espuma"
rir,"rir de forma maliciosa",snigger,16,"COD: dar tal risada."
lamentar-se,lamentar-se,whine,16,"COD: dar ou fazer um reclame."
jodelar,jodelar,yodel,16,"COD: uma forma de canto ou chamada marcada por uma rápida alternância entre a voz normal e o falsete."
bipar,bipar,beep,16,"FN: fazer um zumbido eletrônico agudo"
"ouvir por acaso","ouvir por acaso",overhear,16,"COD: ouvir acidentalmente ou secretamente."
"ponto de vista","ponto de vista","point of view",17,"A opinião de alguém ou a forma como uma pessoa vê algo."
"sonhar acordado","sonhar acordado",daydream,16,"Gasta tempo pensando em pensamentos agradáveis sobre algo que você gostaria de estar fazendo ou algo que você gostaria de alcançar no futuro."
"golpe de estado","golpe de estado",coup,8,"COD: uma tomada de poder violenta ou ilegal"
revolta,revolta,rebellion,8,"COD: n. resistência aberta à autoridade, especialmente resistência armada organizada a um governo estabelecido."
revolta,revolta,uprising,8,"COD: um ato de resistência ou rebelião."
revolta,revolta,revolt,8,"COD: uma tentativa de acabar com a autoridade de uma pessoa ou corpo através da rebelião."
"assumir o controle","assumir o controle","take over",16,"COD: assume controle de ou responsabilidade por algo."
revolta,revolta,rising,8,"FN: uma revolta contra uma autoridade"
presidir,preside,preside,16,"COD: estar em uma posição de autoridade em uma reunião, tribunal, etc.; ser responsável por (uma situação)."
vice-capitão,vice-capitão,vice-captain,8,"FN: uma pessoa servindo no lugar do ou como substituto do capitão"
"vice-presidente do conselho","vice-presidente do conselho",vice-chairman,8,"FN: uma pessoa que delega os poderes de um presidente e atua em seu lugar durante sua ausência ou indisposição"
sátrapa,sátrapa,satrap,8,"COD: um governante subordinado ou local"
maharaja,maharaja,maharaja,8,"COD: um príncipe indiano histórico"
tsar,tsar,tsar,8,"COD: um imperador da Rússia antes de 1917"
tsarina,tsarina,tsarina,8,"COD: uma imperatriz da Rússia antes de 1917"
vizir,vizir,vizier,8,"COD: alto funcionário em alguns países muçulmanos, especialmente na Turquia sob o domínio otomano"
