existing_frame,new_frame
"Abertura [estado]","Abertura [entidade]"
Abandonar,"Abandono [estado]"
Abusar,"Abuso [atributo]"
Acabar_de_descobrir,"Acabar_de_descobrir [estado]"
Adotar_seleção,"Adotar_seleção [estado]"
Adquirir,"Adquirir [estado]"
Afirmar_ou_negar,"Afirmar_ou_negar [atributo]"
Agir_intencionalmente,"Agir_intencionalmente [entidade]"
Agir_intencionalmente,"Agir_intencionalmente [atributo]"
Ajustar,"Ajustar [estado]"
Ajustar,"Ajustar [atributo]"
Alimentos_e_bebidas,"Alimentos_e_bebidas [estado]"
Alimentos_e_bebidas,"Alimentos_e_bebidas [atributo]"
Amalgamar,"Amalgamar [estado]"
Anexar,"Anexar [estado]"
Aparato,"Aparato [atributo]"
Apoiar,"Apoiar [estado]"
Apoiar,"Apoiar [entidade]"
Argumentar,"Argumentar [estado]"
Arma,"Arma [atributo]"
Armazenar,"Armazenar [estado]"
Armazenar,"Armazenar [entidade]"
Arriscar,"Arriscar [atributo]"
Arrumar,"Arrumar [estado]"
Arrumar,"Arrumar [atributo]"
Assear,"Assear [atributo]"
Assistência,"Assistência [entidade]"
Assistência,"Assistência [atributo]"
Atacar,"Atacar [entidade]"
Atacar,"Atacar [atributo]"
Ataque_suicida,"Ataque_suicida [entidade]"
Atendimento_em_saúde,"Atendimento_em_saúde [estado]"
Atenção,"Atenção [eventivo]"
Atividade_iniciar,"Atividade_iniciar [estado]"
Avaliar,"Avaliar [atributo]"
Ação_sucedida,"Ação_sucedida [estado]"
Ações_políticas,"Ações_políticas [entidade]"
Campos,"Campos [atributo]"
Capacidade_ação,"Capacidade_ação [eventivo]"
Capacidade_ação,"Capacidade_ação [eventivo]"
Capacidade_volume,"Capacidade_volume [eventivo]"
Careza,"Careza [atributo]"
Categorização,"Categorização [estado]"
Categorização,"Categorização [entidade]"
Catástrofe,"Catástrofe [atributo]"
Causar_benefício_ou_prejuízo,"Causar_benefício_ou_prejuízo [atributo]"
Causar_expansão,"Causar_expansão [estado]"
Causar_mudança,"Causar_mudança [estado]"
Causar_mudança,"Causar_mudança [entidade]"
Causar_mudança,"Causar_mudança [atributo]"
Certeza,"Certeza [atributo]"
Cobrar,"Cobrar [atributo]"
Codificar,"Codificar [entidade]"
Cogitação,"Cogitação [atributo]"
"Coletivo_em_eventos_sociais",Coletivo_em_eventos_sociais [eventivo]"
Colocar,"Colocar [estado]"
Colonização,"Colonização [entidade]"
Compatibilidade,"Compatibilidade [eventivo]"
Completude,"Completude [eventivo]"
Comunicação,"Comunicação [estado]"
Comunicação,"Comunicação [entidade]"
Comunicação_de_julgamento,"Comunicação_de_julgamento [estado]"
Comércio_comprar,"Comércio_comprar [entidade]"
Comércio_pagar,"Comércio_pagar [entidade]"
Comércio_vender,"Comércio_vender [entidade]"
Confiança,"Confiança [eventivo]"
Conformidade,"Conformidade [estado]"
Conservar_materiais,"Conservar_materiais [estado]"
Conter,"Conter [eventivo]"
Contrabandear,"Contrabandear [entidade]"
Cortar,"Cortar [estado]"
Costume,"Costume [atributo]"
Costume,"Costume [entidade]"
Criar,"Criar [entidade]"
Criar,"Criar [estado]"
Criar_arte_física,"Criar_arte_física [entidade]"
Criar_arte_física,"Criar_arte_física [estado]"
Criar_intencionalmente,"Criar_intencionalmente [estado]"
Criar_intencionalmente,"Criar_intencionalmente [entidade]"
Criar_representação,"Criar_representação [entidade]"
Criar_representação,"Criar_representação [estado]"
Criação_culinária,"Criação_culinária [entidade]"
Criação_culinária,"Criação_culinária [estado]"
Curar,"Curar [estado]"
Curar,"Curar [entidade]"
Dançar,"Dançar [entidade]"
Dar,"Dar [entidade]"
Defender,"Defender [entidade]"
Defender,"Defender [atributo]"
Deixado_por_fazer,"Deixado_por_fazer [eventivo]"
Deixar_rastros,"Deixar_rastros [entidade]"
Denunciar,"Denunciar [entidade]"
Deslocar-se,"Deslocar-se [entidade]"
Destruir,"Destruir [entidade]"
Destruir,"Destruir [atributo]"
Destruir,"Destruir [estado]"
Dificultar,"Dificultar [entidade]"
Dinamismo,"Dinamismo [atributo]"
Dinamismo,"Dinamismo [estado]"
Discussão,"Discussão [entidade]"
Disfarçar-se_de,"Disfarçar-se_de [entidade]"
Dispersão,"Dispersão [estado]"
Dispersão,"Dispersão [entidade]"
Dormir,"Dormir [estado]"
Duplicação,"Duplicação [entidade]"
Eclipsar,"Eclipsar [estado]"
Eletricidade,"Eletricidade [atributo]"
Enfatizar,"Enfatizar [estado]"
Enviar,"Enviar [estado]"
Escolher,"Escolher [estado]"
Esconder_objetos,"Esconder_objetos [estado]"
Estupro,"Estupro [entidade]"
Esvaziar,"Esvaziar [estado]"
Evadir,"Evadir [estado]"
Evidências,"Evidências [eventivo]"
Evidências,"Evidências [entidade]"
Excretar,"Excretar [entidade]"
Expiação,"Expiação [estado]"
Expiação,"Expiação [entidade]"
Expiação,"Expiação [atributo]"
Fabricação,"Fabricação [entidade]"
Fenômenos_naturais,"Fenômenos_naturais [entidade]"
Forma_do_caminho,"Forma_do_caminho [eventivo]"
Fornecimento,"Fornecimento [entidade]"
Fornecimento,"Fornecimento [estado]"
Frugalidade,"Frugalidade [entidade]"
Frugalidade,"Frugalidade [eventivo]"
Furto,"Furto [entidade]"
Gesto,"Gesto [eventivo]"
Importância,"Importância [eventivo]"
Inclinação,"Inclinação [eventivo]"
Indicar,"Indicar [entidade]"
Influência_objetiva,"Influência_objetiva [estado]"
Ingestão,"Ingestão [estado]"
Inovar,"Inovar [entidade]"
Inovar,"Inovar [atributo]"
Intoxicação,"Intoxicação [estado]"
Intérpretes_e_papéis,"Intérpretes_e_papéis [eventivo]"
Invadir,"Invadir [entidade]"
Liderança,"Liderança [entidade]"
Locais_naturais,"Locais_naturais [atributo]"
Locais_políticos,"Locais_políticos [atributo]"
Localização_de_luz,"Localização_de_luz [eventivo]"
Maneira_de_comunicação,"Maneira_de_comunicação [eventivo]"
Massa_quantificada,"Massa_quantificada [eventivo]"
Matar,"Matar [entidade]"
Movimento_corporal,"Movimento_corporal [estado]"
Movimento_de_luz,"Movimento_de_luz [estado]"
Movimento_direcional,"Movimento_direcional [estado]"
Mudar_postura,"Mudar_postura [estado]"
Nível_de_luz,"Nível_de_luz [eventivo]"
Objeto_de_conhecimento,"Objeto_de_conhecimento [atributo]"
Período_de_tempo,"Período_de_tempo [eventivo]"
Postura,"Postura [eventivo]"
Proibir_ou_licenciar,"Proibir_ou_licenciar [estado]"
Queimar_com_fogo,"Queimar_com_fogo [entidade]"
Remover,"Remover [entidade]"
Remover,"Remover [estado]"
Representação,"Representação [eventivo]"
Residência,"Residência [eventivo]"
Responsabilidade,"Responsabilidade [atributo]"
Rito,"Rito [eventivo]"
Roubo,"Roubo [entidade]"
Sair_de_um_lugar,"Sair_de_um_lugar [entidade]"
Sanções,"Sanções [entidade]"
Sediar_evento,"Sediar_evento [entidade]"
Separar,"Separar [estado]"
Sequestrar,"Sequestrar [estado]"
Sequestrar,"Sequestrar [entidade]"
Sequestro_de_veículo,"Sequestro_de_veículo [estado]"
Sequestro_de_veículo,"Sequestro_de_veículo [entidade]"
Ser_afetado,"Ser_afetado [estado]"
Ser_empregado,"Ser_empregado [entidade]"
Ser_localizado,"Ser_localizado [eventivo]"
Ser_necessário,"Ser_necessário [eventivo]"
Ser_obrigado,"Ser_obrigado [eventivo]"
Ser_obrigatório,"Ser_obrigatório [eventivo]"
Ser_operacional,"Ser_operacional [eventivo]"
Ser_relevante,"Ser_relevante [eventivo]"
Sexo,"Sexo [eventivo]"
Significado_linguístico,"Significado_linguístico [atributo]"
Significado_linguístico,"Significado_linguístico [eventivo]"
Similaridade,"Similaridade [eventivo]"
Sinal,"Sinal [entidade]"
Sinal,"Sinal [atributo]"
Situação_de_risco,"Situação_de_risco [atributo]"
Sons_de_comunicação,"Sons_de_comunicação [eventivo]"
Sucesso_ou_falha,"Sucesso_ou_falha [eventivo]"
Sucesso_pessoal,"Sucesso_pessoal [eventivo]"
Temeridade,"Temeridade [atributo]"
Ter_ou_carecer_de_acesso,"Ter_ou_carecer_de_acesso [eventivo]"
Ter_ou_carecer_de_acesso,"Ter_ou_carecer_de_acesso [atributo]"
Ter_visita,"Ter_visita [eventivo]"
Terminar_competição,"Terminar_competição [entidade]"
Terrorismo,"Terrorismo [entidade]"
Texto_de_referência,"Texto_de_referência [eventivo]"
Tomar_partido,"Tomar_partido [entidade]"
Traduzir,"Traduzir [estado]"
Trajar,"Trajar [estado]"
Transportar,"Transportar [entidade]"
Tratar_e_maltratar,"Tratar_e_maltratar [causativo]"
Tópico,"Tópico [eventivo]"
Usar,"Usar [atributo]"
Usar,"Usar [estado]"
Utilidade,"Utilidade [eventivo]"
Vencimento_de_títulos,"Vencimento_de_títulos [eventivo]"
Veredito,"Veredito [estado]"
Vestir,"Vestir [estado]"
Vingança,"Vingança [entidade]"
Vingança,"Vingança [atributo]"
Vício,"Vício [estado]"
Vício,"Vício [eventivo]"
