parent_name,relation,idFrame,idEntity,name
Intentionally_act,,675,3860,Accomplishment
Stative_configuration,,434,3619,Amounting_to
Artifact,,1073,4258,Armor
Social_entity,,1033,4218,Artistic_style
Artifact,,1566,1557383,Assistive technology
Communication,,279,3464,Attention_getting
Attributes,,550,3735,Attributed_information
Subjective_state,,1069,4254,Awareness_situation
Subjective_state,,1070,4255,Awareness_status
Stative_configuration,,1370,24018,Basis_for_attribute
Transitive_action,,929,4114,Beat_opponent
Transition_to_situation,,1473,1549499,Becoming_a_patient
Transition_to_state,,1371,24019,Becoming_silent
Intentionally_act,,378,3563,Behind_the_scenes
Stative_configuration,,1540,1556882,Being_clean
Stative_configuration,,643,3828,Being_detached
State_of_entity,,1490,1554228,Being_hurt
State_of_entity,,1114,4299,Being_in_captivity
State_of_entity,,815,4000,Being_in_category
State_of_process,,668,3853,Being_in_effect
State_of_entity,,205,3390,Being_named
State_of_entity,,1205,4390,Being_pregnant
State_of_entity,,1373,24021,Being_questionable
State_of_entity,,328,3513,Beyond_compare
State_of_entity,,755,3940,Be_translation_equivalent
Intentionally_act,,1374,24022,Billing
Eventive_affecting,,1157,4342,Biological_mechanisms
Intentionally_act,,745,3930,Board_vehicle
Activity,,11,3196,Body_movement
Part_whole,,1375,24023,Body_parts
State_of_entity,,1014,4199,Bond_maturation
Event,,396,3581,Boulder
Stative_configuration,,301,3486,Boundary
Intentionally_act,,247,3432,Breathing
Cause_motion,,216,3401,Bringing
Intentionally_act,,241,3426,Bungling
Social_attributes,,26,3211,Candidness
Artifact,,1123,4308,Capital_stock
Representing,,196,3381,Cardinal_numbers
Intentionally_act,,821,4006,Carry_goods
Undergoing,,104,3289,Catastrophe
Mental_activity,,16,3201,Categorization
Cause_change,,1149,4334,Cause_benefit_or_detriment
Cause_change,,1470,1549390,Cause_health_condition
Cause_change,,1171,4356,Cause_to_burn
Change,,753,3938,Change_direction
Transition_to_situation,,970,4155,Change_of_quantity_of_possession
Transition_to_state,,1376,24024,Change_post-state
Communication,,1377,24025,Citing
Communication,,430,3615,Claim_ownership
Entity_relation,,1378,24026,Co-association
Mental_activity,,17,3202,Cogitation
Relation,,449,3634,Cognitive_connection
Intentionally_act,,802,3987,Colonization
Undergoing,,1379,24027,Come_down_with
Mental_activity,,22,3207,Coming_up_with
Representing,,236,3421,Commemorative
Intentionally_act,,27,3212,Commitment
Stative_configuration,,1111,4296,Commonality
Communication,,463,3648,Communicate_categorization
Communication,,218,3403,Communication_means
Communication,,1579,1558081,Communicative_context
Cause_change,,531,3716,Commutation
Communication,,955,4140,Concessive
State_of_entity,,1146,4331,Condition_symptom_relation
Intentionally_act,,407,3592,Conduct
Mental_activity,,1578,1558063,Confirmation_of_attention
Entity,,72,3257,Containers
Communication,,476,3661,Contingency
State,,714,3899,Continued_state_of_affairs
State,,1034,4219,Contrary_circumstances
Undergoing,,352,3537,Contrition
Communication,,688,3873,Convey_importance
Undergoing,,320,3505,Corroding
Entity,,1516,1554883,Course
Activity,,496,3681,Craft
Intentionally_create,,757,3942,Create_representation
Emotions,,1306,17810,Crowd_reactions
Social_attributes,,350,3535,Custom
Mental_activity,,335,3520,Deciding
Intentionally_act,,613,3798,Defending
Quality,,884,4069,Degree
Degree,,560,3745,Degree_of_processing
Range,,766,3951,Delimitation_of_diversity
Cause_motion,,617,3802,Delivery
Intentionally_affect,,1381,24029,Deny_or_grant_permission
Intentionally_act,,429,3614,Deserving
Intentionally_act,,286,3471,Detaining
Intentionally_act,,1484,1550766,Diagnosing
Subjective_state,,19,3204,Differentiation
Quality,,193,3378,Direction
State_of_entity,,1565,1557377,Disability
Cause_motion,,746,3931,Disembarking
State_of_entity,,542,3727,Distinctiveness
Representing,,399,3584,Domain
State_of_entity,,805,3990,Domination
Transtion_to_state,,647,3832,Dough_rising
Intentionally_act,,588,3773,Dressing
Cause_motion,,963,4148,Dunking
Physical_attributes,,1383,24031,Dynamism
Eventive_affecting,,438,3623,Eclipse
Social_entity,,702,3887,Economy
Physical_entity,,684,3869,Electricity
Phenomenon,,333,3518,Emanating
Phenomenon,,331,3516,Emitting
Emotions,,40,3225,Emotion_directed
Emotions,,43,3228,Emotion_heat
Communication,,687,3872,Emphasizing
Representing,,29,3214,Encoding
Information,,673,3858,Estimated_value
Mental_activity,,671,3856,Estimating
Information,,20,3205,Evidence
Mental_activity,,502,3687,Evoking
Intentionally_act,,540,3725,Exclude_member
Intentionally_act,,245,3430,Excreting
Transtion_to_state,,452,3637,Expansion
Quality,,77,3262,Expensiveness
Intentionally_act,,1124,4309,Experimentation
Communication,,653,3838,Explaining_the_facts
Communication,,738,3923,Expressing_publicly
State_of_entity,,703,3888,Extreme_point
State_of_entity,,715,3900,Extreme_value
Stative_configuration,,147,3332,Facial_expression
Quality,,346,3531,Fairness_evaluation
Emotions,,365,3550,Feeling
Intentionally_affect,,8,3193,Feigning
Entity,,618,3803,Fields
Phenomenon,,1170,4355,Fire_burning
Undergoing,,512,3697,First_experience
State_of_entity,,371,3556,First_rank
Social_entity,,1423,49459,Food_service
