idFrame,idEntity,entry,definition
675,3860,"Accomplishment","After a period in which the #Agent has been working on a #Goal, the #Agent manages to attain it.  The #Goal may be a desired state, or be conceptualized as an event.
<ex></ex>
<ex>[Jeremey|Agent] [obediently|Manner] [accomplished|Target] [this task|Goal].</ex>

<ex>In response, the Prime Minister has simply cited [his|Agent] [free-market|Domain] [[accomplishments|Goal]|Target]. </ex>
 "
1605,2741203,"Addressing_initial","A Speaker starts a communicative interaction by referring to the #Addressees. The choice of the form of #Address characterizes their social relation. Addressing at the text opening serves to establish contact and thus contributes to structuring the interaction.
This frame is limited by the position of its instantiations in the text: unlike the frame Address_focus_addressee [so far defined only for German: Anrede_Fokus_Adressat], it occurs exclusively at the beginning of an interaction.
The frame #Appellations describes the use of names and titles for addressing people."
1493,1559511,"Age_descriptor","Age_descriptor"
434,3619,"Amounting_to","The absolute #Value of a quantifiable #Attribute  of an item is determined by adding up the values for the #Attribute of the individuals or parts that make up the item. The item is not expressed as a separate constituent but it is presupposed by the concept of #Attribute.  Alternatively, the #Numbers form an implicit set whose sum is the #Value associated with the set.   In some cases what is reported is just the cardinality of the individuals that make up the item so that in effect the #Value is a count. In other cases the identity of the #Attribute can only be inferred from the #Value.

There is no cognizer on the scene in this frame. Instead, the frame focuses on the relationship between the #Attribute or #Numbers and the #Value, which is stable and unchanging regardless of who performs  the calculation.

<ex>Defence is provided in West Germany by [armed forces whose number|Attribute] [totals|Target] [close to half a million men and women|Value] </ex> .
<ex> [Revenues|Attribute] [totalled|Target] [568.86m pounds|Value] </ex>
<ex>The WHO estimated that the cumulative [total|Target] [of AIDS cases|Attribute] was [more than 1,500,000|Value]. </ex>"
1073,4258,"Armor","An #Asset, the safety of which is desirable, is protected from damage by a covering, the #Armor. The #Armor covers part or all of the #Asset and is designed to absorb force from an oncoming #Danger.

<ex>They were wearing nothing but primitive [wooden|mat] [[armor|Armor]|Target].</ex>

<ex>An extra level of safety is provided by [the soldiers'|Asset] [ballistic|Danger] [[armor|Armor]|Target].</ex>"
1033,4218,"Artistic_style","This frame contains LUs that express the #Form which a piece of #Artwork represents. The #Form may also represent the entire body  of an #Artist's work. The #Form may be further characterized by the #Time of some #Artwork's creation or other #Descriptors.

<ex>[Her|Artist] [[style|Target]|Form] [of painting|Artwork] is an excellent blend of traditional and modern.</ex>
<ex>The [whimsical|Descriptor] [[style|Target]|Form] [of this piece|Artwork] is very effective.</ex>"
279,3464,"Attention_getting","This frame covers terms used to get someone's attention, including #Interjections (e.g. <ment>hey</ment>, <ment>yo</ment>) and certain terms of address (#Address_term), the latter of which may serve the function of attention getting.

<ex>[[Hey|Target]|Interj].</ex>
<ex>[Hey|Interj], [boy|Add_t].</ex>
<ex>[Hey|Interj], [boy|Add_t], come over here now!</ex>
 "
550,3735,"Attributed_information","A #Proposition is attributed to a #Speaker or a #Text.

<ex>[According|Target] [to|Target] [the Press Trust of India|spe] [in an article published on its Web site Thursday|tex], [the woman has been identified as 31-year-old Aafia Siddiqui, who was being sought by U.S. officials last week along with two other men, including one whose last known address was in Miramar, Fla|pro].</ex>

<ex> In addition, [according|Target] [to|Target] [Section I3.5b|tex], [the spacing of stud shear connectors along the length of a supporting beam shall not exceed 36?|pro]. </ex>

<ex>[According|Target] [to|Target] [the Pope|spe], [Muslims believe in the same God|pro] and according to Jesus, Muslims are the greatest in Heaven.</ex>"
1069,4254,"Awareness_situation","A Cognizer has a piece of Content in their model of the world due to deduction, inference, or similar means of arriving at information from perceivables."
1070,4255,"Awareness_status","Some #Content is part of the mental model of a #Cognizer. The #Cognizer arrives at the mental model not by direct perception but by reasoning from perceived phenomena. Alternatively, the #Role of a particular object is known to be applicable to that object.

<ex>[That fact|con] is [known|Target] [to many|cog].</ex>

<ex>The [presumed|Target] [killer|rol] was last seen driving south on the interstate.</ex>"
