Line,"English Entry","Serbian Translation"
161,fe_experiencer_192,fe_доживљавач_192
162,fe_topic_193,fe_предмет_разговора_193
378,fe_correlated_variable_449,fe_корелациона_променљива_449
692,fe_part_1088,fe_део_1088
693,fe_whole_1089,fe_целина_1089
823,fe_creator_1336,fe_стваралац_1336
848,fe_means_1382,fe_средство_1382
849,fe_money_1383,fe_новац_1383
850,fe_rate_1384,fe_стопа_1384
852,fe_unit_1386,fe_јединица_1386
856,fe_means_1391,fe_средство_1391
857,fe_money_1392,fe_новац_1392
858,fe_rate_1393,fe_стопа_1393
860,fe_unit_1395,fe_јединица_1395
863,fe_means_1398,fe_средство_1398
864,fe_money_1399,fe_новац_1399
865,fe_rate_1400,fe_стопа_1400
867,fe_unit_1402,fe_јединица_1402
876,fe_means_1411,fe_средство_1411
877,fe_money_1412,fe_новац_1412
878,fe_rate_1413,fe_стопа_1413
880,fe_unit_1415,fe_јединица_1415
987,fe_locale_1565,fe_место_1565
988,fe_constituent_parts_1566,fe_саставни_делови_1566
989,fe_relative_location_1567,fe_релативна_локација_1567
990,fe_formational_cause_1568,fe_формацијски_узрок_1568
991,fe_container_possessor_1569,fe_посесор_садржатеља_1569
995,fe_locale_1573,fe_место_1573
1003,fe_constituent_parts_1585,fe_саставни_делови_1585
1004,fe_container_possessor_1586,fe_посесор_садржатеља_1586
1005,fe_formational_cause_1587,fe_формацијски_узрок_1587
1006,fe_locale_1588,fe_место_1588
1010,fe_name_1595,fe_име_1595
1013,fe_name_1598,fe_име_1598
1018,fe_relative_location_1603,fe_релативна_локација_1603
1094,fe_means_1694,fe_средство_1694
1095,fe_money_1695,fe_новац_1695
1096,fe_rate_1696,fe_стопа_1696
1098,fe_unit_1698,fe_јединица_1698
1101,fe_means_1701,fe_средство_1701
1102,fe_money_1702,fe_новац_1702
1103,fe_rate_1703,fe_стопа_1703
1105,fe_unit_1705,fe_јединица_1705
1106,fe_time_1709,fe_време_1709
1107,fe_place_1710,fe_место_1710
1117,fe_place_1724,fe_место_1724
1118,fe_purpose_1725,fe_сврха_1725
1120,fe_time_1727,fe_време_1727
1121,fe_place_1728,fe_место_1728
1122,fe_purpose_1729,fe_сврха_1729
1124,fe_time_1731,fe_време_1731
1127,fe_place_1734,fe_место_1734
1128,fe_purpose_1735,fe_сврха_1735
1130,fe_time_1737,fe_време_1737
1131,fe_place_1738,fe_место_1738
1132,fe_purpose_1739,fe_сврха_1739
1134,fe_time_1741,fe_време_1741
1315,fe_degree_1989,fe_степен_1989
1316,fe_manner_1990,fe_начин_1990
1317,fe_result_1991,fe_резултат_1991
1345,fe_cook_2027,fe_кувар_2027
1346,fe_heating_instrument_2028,fe_грејни_инструмент_2028
1347,fe_place_2029,fe_место_2029
1348,fe_food_2030,fe_храна_2030
1349,fe_time_2032,fe_време_2032
1350,fe_means_2033,fe_средство_2033
1351,fe_purpose_2034,fe_сврха_2034
1352,fe_duration_2035,fe_трајање_2035
1353,fe_medium_2037,fe_медијум_2037
1354,fe_co-participant_2039,fe_саучесник_2039
1355,fe_temperature_setting_2040,fe_подешавање_температуре_2040
1356,fe_degree_2041,fe_степен_2041
1357,fe_manner_2042,fe_начин_2042
1376,fe_container_2063,fe_садржатељ_2063
1425,fe_participant_1_2128,fe_учесник_1_2128
1426,fe_participant_2_2129,fe_учесник_2_2129
1427,fe_participants_2130,fe_учесници_2130
1428,fe_competition_2131,fe_такмичење_2131
1429,fe_score_2132,fe_скор_2132
1430,fe_rank_2133,fe_ранг_2133
1431,fe_prize_2134,fe_награда_2134
1432,fe_venue_2135,fe_место_одржавања_2135
1534,fe_theme_2260,fe_тема_2260
1535,fe_location_2261,fe_локација_2261
1544,fe_degree_2271,fe_степен_2271
1853,fe_origin_2617,fe_порекло_2617
1854,fe_person_2618,fe_особа_2618
1855,fe_persistent_characteristic_2619,fe_постојана_карактеристика_2619
1856,fe_descriptor_2620,fe_дескриптор_2620
1857,fe_age_2621,fe_старост_2621
2124,fe_area_2941,fe_област_2941
2125,fe_co-participant_2942,fe_саучесник_2942
2126,fe_distance_2943,fe_удаљеност_2943
2127,fe_duration_2944,fe_трајање_2944
2128,fe_goal_2945,fe_циљ_2945
2129,fe_manner_2946,fe_начин_2946
2130,fe_means_2947,fe_средство_2947
2131,fe_path_2948,fe_путања_2948
2132,fe_traveler_2949,fe_путник_2949
2133,fe_source_2950,fe_извор_2950
2134,fe_speed_2951,fe_брзина_2951
2135,fe_mode_of_transportation_2952,fe_вид_транспорта_2952
2136,fe_time_2953,fe_време_2953
2137,fe_explanation_2954,fe_објашњење_2954
2138,fe_baggage_2955,fe_пртљаг_2955
2139,fe_frequency_2956,fe_фреквенција_2956
2183,fe_purpose_3002,fe_сврха_3002
2184,fe_iterations_3006,fe_понављања_3006
2185,fe_period_of_iterations_3007,fe_период_понављања_3007
2294,fe_travel_means_3134,fe_средство_путовања_3134
2373,fe_agent_3257,fe_агенс_3257
2374,fe_degree_3258,fe_степен_3258
2375,fe_goal_3262,fe_циљ_3262
2376,fe_instrument_3263,fe_инструмент_3263
2377,fe_manner_3264,fe_начин_3264
2378,fe_means_3265,fe_средство_3265
