idDocument,cosine_similarity,names,title,excerpt
11335,0.870409,"Van; Road",,"Rodovia está fechada no sentido Juiz de Fora a partir da praça de pedágio de Duque de Caxias. Concer pede que motoristas reprogramem viagens"
3193,0.863398,"Building; Flames; Smoke","VÍDEO: Ônibus do transporte coletivo é tomado por fogo na Zona Sul","Não houve feridos, segundo o Corpo de Bombeiros e o Consórcio Via JF"
6771,0.858625,"Pen; Form; Tablet; Papers","Receita permite atualização de valor de imóvel na declaração do Imposto de Renda","Possibilidade de atualizar o valor do imóvel na declaração do Imposto de Renda foi autorizada por lei de reoneração gradual da folha"
11205,0.853339,"Zucchini; Cabbage","Feira de produtos artesanais marca o Dia da Agricultura Familiar em JF","Evento acontece entre 8h e 14h na sede da PJF, com alimentos, artesanatos e acessórios feitos por produtoras e agricultoras familiares"
9881,0.851215,"Car; Hood; Windshield; Grass; Sidewalk","PM apreende 20kg de maconha em carro na Av. Deusdedit Salgado","Droga estava em veículo com placa de Três Rios (RJ) que seguia em direção à BR-040; flagrante ocorreu durante mais uma edição da operação ""Impacto"""
7245,0.842777,"Building; Flames","Incêndio atinge fábrica de estofados em Ubá","Chamas destruíram matérias-primas, produtos e maquinários, além de parte do telhado do local"
11505,0.842595,"Person; Fabric; Room","Abertas as inscrições para curso de qualificação profissional de costureiro industrial do vestuário","Ao todo, são 20 vagas disponíveis voltadas a travestis, pessoas transgêneras e não-binárias em Juiz de Fora"
5846,0.840868,"Road; Man","Trecho da BR-040 próximo a Petrópolis é liberado pela Concer","Tráfego foi liberado para todos os tipos de veículos, inclusive carretas, na tade desta quarta"
2369,0.837098,Motorcycle,"Ponte desaba durante passagem de carreta em Mercês","Trajeto é conhecido por ser passagem de veículos de carga"
2811,0.824118,"Motorcycle; Grass","Motociclista atingida por carro será indenizada em R$ 15 mil","Valor corresponde a danos morais e estéticos, segundo o TJMG"
12007,0.820649,"People; Bus stop; Road","Linhas de ônibus passam por alterações em Juiz de Fora","No total, 15 trajetos passam por modificações, como alteração no quadro de horários, extensão e mudança de itinerários"
7386,0.805859,"Road; Police officer; Vehicle; Car; Hillside","Furto de sinalização de trânsito provoca acidente na Rua Diva Garcia","Duas mulheres ficaram feridas e foram encaminhadas para o HPS"
7777,0.795104,"Person; River","Bombeiros registram 17 afogamentos em Minas Gerais em 2023","Nas proximidades de Juiz de Fora, a corporação contabiliza cinco vítimas neste ano deste tipo de ocorrência"
15180,0.79498,"Document; Stethoscope; Pen","Câmara aprova uso de nome social em estabelecimentos de saúde","Pessoas trans deverão ser tratadas pelo nome social, mesmo se documentos não estiverem retificados"
10493,0.791653,"Explosion; Flames","VÍDEO: Incêndio atinge bambuzal e interdita via","Ocorrência foi registrada em Santa Cruz de Minas e chamas foram controladas "
7109,0.784094,"Truck; Trailer; Grass","Caminhão carregado com amaciante tomba na BR-116 em Leopoldina","Motorista de 47 anos fraturou o braço e teve escoriações após caminhão cair de ribanceira de dez metros"
6572,0.774348,Highway,"Caminhão tomba na BR-040 e deixa via em meia pista","Segundo a Polícia Rodoviária Federal, não há previsão para liberação total da via"
9290,0.767972,"Person; Vehicle","Funcionário de empresa de transporte é indiciado após cegar cachorro com pedrada","Cachorro agredido é conhecido como Branquinho e considerado um cão “comunitário” entre a vizinhança"
12204,0.763435,"Building; Bakery; Smoke","Botijão de gás causa princípio de incêndio em padaria no Santa Luzia","Volume de fumaça chamou atenção de pedestres, mas situação foi controlada rapidamente"
14459,0.763085,"Bus; Grass; Landscape","Ônibus com 25 passageiros capota na MG-265, em Carangola","Adolescente grávida e mulher foram socorridas pelo Samu; pacientes seguiam para unidade de saúde quando aconteceu acidente"
15655,0.761542,"Truck; Flames; Smoke; Highway","Carreta sofre pane mecânica e pega fogo na BR-040","A princípio, não houve vítimas; rodovia está parcialmente interditada no sentido para o Rio de Janeiro"
