English,Serbian
abundant_entities,обилни_ентитети
abuser,злостављач
accessibility,приступачност
accessory,аксесоар
accoutrement,опрема_
accuracy,прецизност
accused,оптужени
act,чин
action,акција
activists,активисти
activity,активност
actor,актер
added_set,додати_скуп
addict,зависник
addictant,супстанца_која_изазива_зависност
address,адреса
address_term,термин_за_обраћање
addressee,адресат
adequacy,адекватност
adversity,неповољна_околност
affected,актери
affected_party,погођена_страна
affliction,невоља
age,старост
agency,агенција
agent,агенс
aggregate,скуп
aggregate_property,особина_скупа
aggressor,агресор
aggressors,агресори
agreement,договор
agriculturist,земљорадник
ailment,обољење
air,ваздух
alignment_match,подударање_поравнања
alignment_mismatch,неподударање_поравнања
alliance,савез
allowed_category,дозвољена_категорија
alter,алтер
alterant,супстанца_која_изазива_промену
amends,одштета
ammunition,муниција
amount,износ
amount_of_discussion,количина_дискусије
amount_of_information,количина_информација
amount_of_progress,количина_напретка
amount_of_reassurance,количина_уверавања
anchor,сидро
angle,угао
animal,животиња
anti_consequence,противпоследица
apparatus,апаратура
apparent_conclusion,привидан_закључак
appraisal,процена_
area,област
arguer,расправљач
arguer1,расправљач_1
arguer2,расправљач_2
arguers,расправљачи
armor,оклоп
arraign_authority,оптужити_власт
artifact,артефакт
artist,уметник
artwork,уметничко_дело
assailant,нападач
assessor,процењивач
asset,преимућство
assets,средства
astronomical_entity,астрономски_ентитет
attachment,прилог
attack,напад
attacked,нападнут
attended_person,присутно_лице
attendee,полазник
attendees,полазници
attitude,став
attraction,привлачност
attribute,атрибут
audience,публика
authenticity,аутентичност
author,аутор
authorities,надлежни_органи
authority,власт
avenger,осветник
averted_situation,избегнута_ситуација
back,назад
bad_action,лош_чин
bad_entity,лош_ентитет
bad_outcome,лош_исход
baggage,пртљаг
barrier,баријера
basis,основа
basis_of_order,основа_реда
beam,зрак
bearer,доносилац
bed,кревет
behavior,понашање
behavior_product,производ_понашања
believer,верник
benefactor,добротвор
beneficial_situation,корисна_ситуација
beneficiary,бенефицијар
benefit,корист
benefited_party,бенефицирана_страна
benefiting_action,корисна_акција
billing_authority,надлежни_за_наплату
binding_principle,обавезујући_принцип
body,тело
body_location,локација_тела
body_mark,телесни_белег
body_part,део_тела
body_system,телесни_систем
bodypart_of_agent,део_тела_агенса
bomb,бомба
bomber,бомбардер
booker,онај_који_резервише
borrower,позајмљивач
boundary,граница
bounded_area,ограничено_подручје
branch,грана
brand,марка
building,зграда
building_part,грађевински_део
business,посао
business_name,назив_фирме
buyer,купац
cache,тајно_складиште
calculator,дигитрон
capitulator,капитулатор
captive,заробљеник
captor,заробљивач
capture,хватање
cargo,товар
carrier,носач
case,случај
category,категорија
cause,узрок
cause_of_shine,узрок_сјаја
change_agent,агенс_промене
character_of_end_state,карактер_крајњег_стања
characteristic,карактеристичан
characterization,карактеризација
charge,оптужба
charges,оптужбе
chemical_entity,хемијски_ентитет
child,дете
chosen,изабрани
circumstance,околност
circumstances,околности
claimant,подносилац_захтева
class,класа
client,клијент
clothing,одећа
co-participant,саучесник
co-timed_event,истовремени_догађај
co-variable,ко-променљива
co_resident,суживотник
code,кодекс
cognate_event,сродни_догађај
cognizer,спознавалац
cognizer_1,спознавалац_1
cognizer_2,спознавалац_2
cognizer_agent,спознајни_агенс_/_агенс_који_спознаје
cognizers,спознаваоци
collection,збирка
collection_name,назив_колекције
colonists,колонисти
color,боја
color_qualifier,квалификатор_боје
combatant,активни_учесник_у_борби
combatants,борци
commitment,обавеза
commonality,заједнички_ентитети
communication,комуникација
communicative_act,комуникативни_чин
communicative_force,комуникативна_снага
communicator,комуникатор
company,компанија
comparand,објекат_са_којим_се_пореди
comparison_activity,поређење_активност
comparison_event,поређење_догађај
comparison_set,скуп_за_поређење
compeller,подстрекивач
compensation,компензација
competing_consideration,конкурентно_разматрање
competition,такмичење
competitor,такмичар
competitors,такмичари
complainer,жалилац
complaint,жалба
completeness,потпуност
complex,комплекс
component,саставни_део
component_entities,саставни_ентитети
component_sound,компонентни_звук_
components,компоненте
composite_number,сложени_број
conceded_state_of_affairs,признато_стање_ствари
concept_1,појам_1
concept_2,појам_2
concepts,појмови
concessive,концесиван
condition,стање
configuration,изглед
conflict,сукоб
connected_item,повезана_ствар
connected_locations,повезане_локације
connection,веза
connections,везе
connector,конектор
conqueror,освајач
consequence,последица
consequences,последице
consideration,разматрање
constancy,постојаност
constant_location,стална_локација
constituent_parts,саставни_делови
constituents,конституенти
construction,конструкција
consumer,потрошач
container,садржатељ
container_portal,отвор_садржатеља
container_possessor,посесор_садржатеља
containing_event,садржавајући_догађај
containing_object,који_садржи_објекат
containing_text,који_садржи_текст
content,садржај
contents,садржај
context,контекст
context_of_acquaintance,контекст_познанства
contract_basis,уговорна_основа
contrary_circumstances,супротне_околности
contrast,контраст
contrast_set,контрастни_скуп
contrasting_alternative,контрастна_алтернатива
contrastive_context,контрастивни_контекст
control,контрола
control_group,контролна_група
control_group_member,члан_контролне_групе
controlled_entity,контролисани_ентитет
controlling_act,контролни_чин
controlling_entity,контролни_ентитет
controlling_situation,контролна_ситуација
controlling_variable,контролна_променљива
conveyed_emotion,пренесена_емоција
convict,осуђеник
conviction,осуда
convoy,конвој
cook,кувар
coordinated_event,координирани_догађај
copy,копија
correlated_event,корелирани_догађај
correlated_variable,корелациона_променљива
cotheme,котема
count,рачун
counter_actor,саботер
countertransfer,контратрансфер
country_of_origin,земља_порекла
course,ток
court,суд
created_entity,створени_ентитет
creator,стваралац
crime,злочин
crime_jurisdiction,кривична_надлежност
criteria,критеријуми
criterion,критеријум
crop,жетва
culture,култура
current_country,тренутна_држава
current_instance,тренутна_инстанца
current_jurisdiction,тренутна_надлежност
current_leadership,тренутно_руководство
current_order,тренутни_поредак
customer,муштерија
danger,опасност
dangerous_entity,опасан_ентитет
dangerous_situation,опасна_ситуација
data,подаци
debtor,дужник
deceased,покојник
deceiver,преварант
deception,обмана
decision,одлука
decision_maker,доносилац_одлука
decorated_individual,украшени_појединац
decoration,декорација
decoration_descriptor,дескриптор_украса
dedicated_entity,посвећени_ентитет
dedicated_type,посвећени_тип
defendant,окривљени
defender,бранилац
defense,одбрана
defining_event,дефинисање_догађаја
deformer,деформатор
degree,степен
degree_of_involvement,степен_укључености
deixis,деикса
deliverer,достављач
delivery_device,уређај_за_испоруку
demands,захтеви
denominator,именилац
denoted_quantity,означена_количина
dependent,зависан
dependent_entity,зависни_ентитет
dependent_individual,зависни_појединац
dependent_situation,зависна_ситуација
dependent_state,зависно_стање
dependent_variable,зависна_променљива
depictive,опис
depictive_of_represented,опис_представљеног
described_entity,описани_ентитет
descriptor,дескриптор
designer,дизајнер
desirability,пожељност
desirable,пожељан
desirable_action,пожељна_акција
desirable_situation,пожељна_ситуација
desired_goal,жељени_циљ
desired_state_of_affairs,жељено_стање_ствари
destination_event,одредишни_догађај
destination_time,одредишно_време
destroyer,уништавач
determinant,одредница
detonator,детонатор
developer,развијач
deviation,одступање
device,уређај
difference,разлика
differentiating_fact,разликовна_чињеница
dimension,димензија
direction,правац
directness,директност
disaster,катастрофа
discourse_salient_country,истакнута_земља_у_дискурсу
disease,болест
displaced_cognizer,измештени_спознавалац
display,приказ
dispute,спор
distance,удаљеност
distant_profiled_region,удаљени_профилисани_регион
distributor,дистрибутер
document,документ
documents,документи
dodger,врдалама
domain,домен
domain_of_relevance,домен_релевантности
donor,донатор
dough,тесто
driver,возач
dryee,осушена_ствар
duration,трајање
duration_of_activity,трајање_активности
duration_of_final_state,трајање_завршног_стања
duration_of_state,трајање_стања
duty,дужност
earner,зарађивач
earnings,зарада
eclipsed,засењен
economy,економија
effect,ефекат
effort,напор
egg,јаје
ego,его
elapsed_time,протекло_време
electricity,електрична_енергија
element,елемент
emission,емисија
emitter,емитер
emotion,емоција
