English,Serbian
abandonment,напуштање
abounding_with,обилoвати_(нечим)
absorb_heat,апсорбовати_топлоту
abundance,изобиље
abusing,злостављање
access_scenario,приступ_сценарио
accompaniment,пратња
accomplishment,постигнуће
accoutrements,модни_додаци
accuracy,тачност
achieving_first,први_остварити
active_substance,активна_супстанца
activity,активност
activity_abandoned_state,активност_напуштено_стање
activity_done_state,активност_довршено_стање
activity_finish,активност_завршетак
activity_ongoing,активност_у_току
activity_pause,активност_пауза
activity_paused_state,активност_паузирано_стање
activity_prepare,активност_припрема
activity_ready_state,активност_стање_спремности
activity_resume,активност_наставак_после_прекида
activity_start,активност_почетак
activity_stop,активност_прекид
actually_occurring_entity,ентитет_који_се_стварно_појављује
addiction,зависност
adding_up,сабирање
adducing,навођење
adjacency,суседност
adjusting,прилагођавање
adopt_selection,усвојити_избор
aesthetics,естетика
affirm_or_deny,потврдити_или_порећи
age,старост
aggregate,скуп
aging,старење
agree_or_refuse_to_act,пристати_на_чин_или_га_одбити
agriculture,пољопривреда
aiming,циљање
alignment_image_schema,поравнање_шема_слика
alliance,савез
alternatives,алтернативе
alternativity,алтернативност
amalgamation,спајање
amassing,нагомилавање
ambient_temperature,температура_околине
ammunition,муниција
amounting_to,износити
animals,животиње
annoyance,нервирање
appeal,жалба
appellations,апелативи
apply_heat,применити_топлоту
appointing,наименовање
architectural_part,структурни_део
arithmetic,аритметика
arithmetic_commutative,аритметика_комутативно
arithmetic_non-commutative,аритметика_некомутативно
armor,оклоп
arranging,уређење
arrest,хапшење
arriving,стизање
arson,подметање_пожара
artifact,артефакт
artifact_subpart,артефакт_део
artificiality,лажност
artistic_style,уметнички_стил
assemble,састајање
assessing,оцењивање
assigned_location,додељена_локација
assistance,помоћ
asymmetric_reciprocality,асиметрична_реципрочност
atonement,искупљење
attaching,спајање
attack,напад
attempt,покушај
attempt_action_scenario,покушај_акције_сценарио
attempt_distant_interaction_scenario,покушај_интеракције_на_даљину_сценарио
attempt_means,покушај_средство
attempt_obtain_food_scenario,покушај_добијања_хране_сценарио
attempt_obtain_mineral_scenario,покушај_добијања_минерала_сценарио
attempt_suasion,покушај_убеђивања
attempting_and_resolving_scenario,покушавање_и_решавање_сценарио
attending,присуствовање
attention,пажња
attention_getting,пажња_привлачење
attitude_description,став_опис
attributed_information,приписане_информације
attributes,атрибути
authority,власт
avoiding,избегавање
awareness,разумевање
awareness_situation,свесност_ситуација
awareness_status,свесност_статус
bail_decision,решење_о_кауцији
basis_for_attribute,основа_за_особину
be_in_agreement_on_action,слагати_се_око_акције
be_in_agreement_on_assessment,бити_сагласан_у_процени
be_on_alert,бити_на_опрезу
be_subset_of,бити_подскуп
be_translation_equivalent,бити_преводни_еквивалент
bearing_arms,ношење_оружја
beat_opponent,победити_противника
becoming,постајање
becoming_a_member,постајати_члан
becoming_attached,постајати_везан
becoming_aware,сазнавање
becoming_detached,постајати_одвојен
becoming_dry,сушити_се
becoming_separated,постајати_одвојен
becoming_silent,постајати_тих
becoming_visible,постајати_видљив
behind_the_scenes,иза_сцене
being_active,бити_активан
being_at_risk,бити_у_опасности
being_attached,бити_везан
being_awake,бити_будан
being_born,бивати_рођен
being_contained_within,бити_садржан_унутар_нечега
being_detached,бити_одвојен
being_dry,бити_сув
being_employed,бити_запослен
being_in_captivity,бити_у_заточеништву
being_in_category,припадати_категорији
being_in_control,имати_контролу
being_in_effect,бити_на_снази
being_in_operation,бити_укључен
being_incarcerated,бити_у_затвору
being_included,бити_укључен
being_located,бити_лоциран
being_named,бити_именован
being_necessary,бити_неопходан
being_obligated,бити_обавезан
being_obligatory,бити_обавезно
being_operational,бити_у_функцији
being_pregnant,бити_трудан
being_questionable,бити_упитан
being_relevant,бити_релевантан
being_rotted,бити_покварен_
being_up_to_it,бити_дорастао_(нечему)
being_wet,бити_мокар
besieging,опседање
beyond_compare,неупоредиво
billing,наплата
biological_area,биолошка_област
biological_classification,биолошка_класификација
biological_entity,биолошки_ентитет
biological_mechanisms,биолошки_механизми
biological_urge,биолошки_нагон
birth_scenario,рођење_сценарио
board_vehicle,укрцавање_у_возило
body_decoration,тело_украшавање
body_description_holistic,опис_тела_холистички
body_description_part,тело_опис_део
body_mark,телесни_белег
body_movement,померање_тела
body_parts,оптужба
bond_maturation,доспеће_обвезнице
borrowing,позајмљивање_(од_некога)
boulder,велики_камен
boundary,граница
bounded_entity,омеђени_ентитет
bounded_region,ограничена_област
bragging,хвалисање
breaking_apart,распадати_се
breaking_off,одламање
breaking_out_captive,ослобађање_заточеника
breathing,дисање
bringing,доношење
building,грађење
building_subparts,зграда_делови
buildings,зграде
bungling,прављење_грешака
